Open,High,Low,Close,Date,Volume
494,495,485.25,486.95,10/02/2014 12:00:00 AM,244760
489.95,489.95,481.2,483.7,11/02/2014 12:00:00 AM,404664
477.25,483.5,475,477.4,12/02/2014 12:00:00 AM,95337
477,479.1,467.3,470.05,13/02/2014 12:00:00 AM,70817
470,475,468,472.3,14/02/2014 12:00:00 AM,41606
473.85,477.1,471.15,472.95,17/02/2014 12:00:00 AM,38909
475,476.5,464.6,473,18/02/2014 12:00:00 AM,42740
473.5,473.5,468,468.6,19/02/2014 12:00:00 AM,41921
468,468,461,462.2,20/02/2014 12:00:00 AM,63642
465,468.5,461.45,464.2,21/02/2014 12:00:00 AM,32287
465,471.1,465,470.2,24/02/2014 12:00:00 AM,46665
472,474.6,469.95,472.1,25/02/2014 12:00:00 AM,26894
472,479.85,471,476.55,26/02/2014 12:00:00 AM,44926
478.8,482.1,470.95,472.95,28/02/2014 12:00:00 AM,53143
472.1,476.35,469.1,473.05,03/03/2014 12:00:00 AM,1880216
474.15,477.15,472.8,475.55,04/03/2014 12:00:00 AM,54177
476.3,478.75,472.2,474.65,05/03/2014 12:00:00 AM,34590
476.6,477,473,474.45,06/03/2014 12:00:00 AM,35620
475.9,484.95,473.75,480.6,07/03/2014 12:00:00 AM,78767
486.8,490.5,481,484.55,10/03/2014 12:00:00 AM,78123
486.5,493,477.65,480.3,11/03/2014 12:00:00 AM,56260
485,495,478.7,493.7,12/03/2014 12:00:00 AM,95801
500,504,491.1,493.05,13/03/2014 12:00:00 AM,95768
492,499.75,490.5,495.85,14/03/2014 12:00:00 AM,50486
496.55,505,495,501.55,18/03/2014 12:00:00 AM,64170
497.45,514.05,497.45,512.6,19/03/2014 12:00:00 AM,115805
511,519.4,511,514.05,20/03/2014 12:00:00 AM,57974
513,518.5,505.15,508.55,21/03/2014 12:00:00 AM,57751
508,509.9,505,505.4,22/03/2014 12:00:00 AM,2136
508.4,523,506.35,522.5,24/03/2014 12:00:00 AM,99124
523.1,532.8,522.6,524.65,25/03/2014 12:00:00 AM,80565
528,533.1,523.75,527.95,26/03/2014 12:00:00 AM,41233
532,541.7,528.5,537.25,27/03/2014 12:00:00 AM,79524
539,542.9,533.65,537.85,28/03/2014 12:00:00 AM,36970
539,548,538,546.5,31/03/2014 12:00:00 AM,55601
548,548,532.3,536.7,01/04/2014 12:00:00 AM,136804
539.6,542.85,522,523.75,02/04/2014 12:00:00 AM,77599
524.5,541.7,524,538.7,03/04/2014 12:00:00 AM,78306
539,541,528.15,531.55,04/04/2014 12:00:00 AM,56670
528,545,527.85,538.65,07/04/2014 12:00:00 AM,38107
540,548.2,533.25,545.55,09/04/2014 12:00:00 AM,68902
543.15,549.65,539.5,541.3,10/04/2014 12:00:00 AM,52369
540.1,544.95,536,541.95,11/04/2014 12:00:00 AM,48599
543.75,544,531.1,534.8,15/04/2014 12:00:00 AM,39370
535.9,538.5,533,534.55,16/04/2014 12:00:00 AM,32653
535,545.45,533.85,543.6,17/04/2014 12:00:00 AM,50961
543,546.45,534.75,539.65,21/04/2014 12:00:00 AM,45191
542,542,535,536.35,22/04/2014 12:00:00 AM,22663
535,537.1,528.3,529.6,23/04/2014 12:00:00 AM,49058
532.95,533,513.1,515,25/04/2014 12:00:00 AM,68190
513.05,517.95,499.1,501,28/04/2014 12:00:00 AM,136313
501,504.8,495.15,498.3,29/04/2014 12:00:00 AM,72568
501.9,511.5,500,505.15,30/04/2014 12:00:00 AM,71957
509,517.5,506.65,509.6,02/05/2014 12:00:00 AM,58437
511.9,519.95,508.1,518.5,05/05/2014 12:00:00 AM,66675
520,524.4,513.3,514.75,06/05/2014 12:00:00 AM,40139
514.5,515,505.1,506.35,07/05/2014 12:00:00 AM,30563
506.5,510,502.05,504,08/05/2014 12:00:00 AM,42049
504,522.6,503.3,520.75,09/05/2014 12:00:00 AM,42700
525,538.8,517.8,536.3,12/05/2014 12:00:00 AM,110582
540,549,535,539.2,13/05/2014 12:00:00 AM,117999
545,559.65,541.9,556.95,14/05/2014 12:00:00 AM,220141
562,565,524.45,529.7,15/05/2014 12:00:00 AM,255254
542,550,525,536.4,16/05/2014 12:00:00 AM,207435
538.6,540,524.3,528.3,19/05/2014 12:00:00 AM,129335
528,535.05,517.9,529.05,20/05/2014 12:00:00 AM,98105
529.6,547.95,529.25,545.15,21/05/2014 12:00:00 AM,114311
550,550,536.9,537.65,22/05/2014 12:00:00 AM,56343
537.4,541.5,533.6,538.85,23/05/2014 12:00:00 AM,64992
541,541,521.4,524.5,26/05/2014 12:00:00 AM,85847
526,529.45,516.1,522.2,27/05/2014 12:00:00 AM,48658
525.25,525.25,508,512.1,28/05/2014 12:00:00 AM,85520
510,515.45,505,506.75,29/05/2014 12:00:00 AM,77283
506,512,501.3,509.45,30/05/2014 12:00:00 AM,66537
507,515,504,509.9,02/06/2014 12:00:00 AM,55675
512,512,506,509.3,03/06/2014 12:00:00 AM,67005
510.65,511.05,505.4,509.1,04/06/2014 12:00:00 AM,46182
510.5,516.15,509,510.75,05/06/2014 12:00:00 AM,102847
