Open,High,Low,Close,Date
1919,1940.05,1913,1932.95,10/02/2014 12:00:00 AM
1938,1944,1921,1936.75,11/02/2014 12:00:00 AM
1940,1958,1897.55,1926.7,12/02/2014 12:00:00 AM
1930,1937.5,1891,1905,13/02/2014 12:00:00 AM
1905,1928,1820,1839.9,14/02/2014 12:00:00 AM
1848.4,1868.55,1809.15,1846.85,17/02/2014 12:00:00 AM
1847,1857,1832.9,1846.15,18/02/2014 12:00:00 AM
1858,1870,1820.15,1823.3,19/02/2014 12:00:00 AM
1823.7,1863.1,1818.5,1840.4,20/02/2014 12:00:00 AM
1844,1870,1840,1858,21/02/2014 12:00:00 AM
1861,1877.5,1858.7,1862.1,24/02/2014 12:00:00 AM
1861,1908,1855,1900.2,25/02/2014 12:00:00 AM
1902.1,1933,1878,1923.3,26/02/2014 12:00:00 AM
1921,1955,1911.35,1942.7,28/02/2014 12:00:00 AM
1921.3,1951,1910,1917.95,03/03/2014 12:00:00 AM
1915,1929.25,1885.35,1923.3,04/03/2014 12:00:00 AM
1922,1932.6,1908.1,1919.05,05/03/2014 12:00:00 AM
1947,1962,1921,1957.1,06/03/2014 12:00:00 AM
1965,2006.5,1947,1955.8,07/03/2014 12:00:00 AM
1956,2014.4,1951.45,2005.25,10/03/2014 12:00:00 AM
2012,2035,1975.25,1985.4,11/03/2014 12:00:00 AM
1984,1995,1956.3,1964.3,12/03/2014 12:00:00 AM
1973.75,1996.9,1960,1968.4,13/03/2014 12:00:00 AM
1967,1990,1964.4,1973.65,14/03/2014 12:00:00 AM
1989,2000,1975.25,1991.55,18/03/2014 12:00:00 AM
2004.95,2011.95,1997.1,2007,19/03/2014 12:00:00 AM
2010,2013.4,1968.65,1973.35,20/03/2014 12:00:00 AM
1977,1988.3,1974,1977.9,21/03/2014 12:00:00 AM
1983.75,1983.75,1976,1979.75,22/03/2014 12:00:00 AM
1995,2024.5,1981,2021.5,24/03/2014 12:00:00 AM
2020,2034.95,2004,2013.4,25/03/2014 12:00:00 AM
2018,2059.95,2018,2038.65,26/03/2014 12:00:00 AM
2040.4,2080,2028,2071.6,27/03/2014 12:00:00 AM
2071.5,2095,2040.05,2055.95,28/03/2014 12:00:00 AM
2056.3,2097,2056.3,2078.3,31/03/2014 12:00:00 AM
2076.05,2081.4,2046.05,2064.5,01/04/2014 12:00:00 AM
2065,2079,2025.25,2049.4,02/04/2014 12:00:00 AM
2059,2070.25,2025,2053.55,03/04/2014 12:00:00 AM
2042.55,2048.15,2021.2,2033.1,04/04/2014 12:00:00 AM
2021,2046,2020,2023.7,07/04/2014 12:00:00 AM
2031,2055,1998.8,2032.55,09/04/2014 12:00:00 AM
2023,2036.85,2014.75,2020.3,10/04/2014 12:00:00 AM
2021.4,2021.75,1993.6,2004.35,11/04/2014 12:00:00 AM
2005.05,2013.85,1956.8,2005.85,15/04/2014 12:00:00 AM
2008.95,2025.95,1990,2000.4,16/04/2014 12:00:00 AM
1984,2022,1984,2013.4,17/04/2014 12:00:00 AM
2020,2035.95,2005,2013.1,21/04/2014 12:00:00 AM
2013,2030.9,2002,2005.5,22/04/2014 12:00:00 AM
2003.7,2015.15,1993.95,2004.8,23/04/2014 12:00:00 AM
2000,2002,1982.55,1996.55,25/04/2014 12:00:00 AM
1998,2000.5,1978.95,1985.4,28/04/2014 12:00:00 AM
1983.05,1983.05,1939,1941.75,29/04/2014 12:00:00 AM
1958.95,1960,1902,1913.45,30/04/2014 12:00:00 AM
1915,1927.9,1896,1904.65,02/05/2014 12:00:00 AM
1898,1922.55,1898,1918.55,05/05/2014 12:00:00 AM
1920,1922.05,1893,1902.3,06/05/2014 12:00:00 AM
1901.5,1906,1865.2,1871.75,07/05/2014 12:00:00 AM
1888,1890,1873.75,1878.8,08/05/2014 12:00:00 AM
1880,1926.85,1874.7,1920.7,09/05/2014 12:00:00 AM
1919,1957,1919,1947.9,12/05/2014 12:00:00 AM
1945.5,1994.9,1939.5,1979.2,13/05/2014 12:00:00 AM
2000,2048.2,1987.3,2040.55,14/05/2014 12:00:00 AM
2045,2058.7,1947.2,1953.2,15/05/2014 12:00:00 AM
2000,2093.8,1911.65,1934.25,16/05/2014 12:00:00 AM
1984,1984,1876.05,1884.4,19/05/2014 12:00:00 AM
1900,1900,1844,1871.4,20/05/2014 12:00:00 AM
1871,1967,1871,1959.2,21/05/2014 12:00:00 AM
1999,2028.6,1975.25,1985.6,22/05/2014 12:00:00 AM
2012.35,2014,1965.2,1983.7,23/05/2014 12:00:00 AM
1999.55,2013.6,1950,1960.05,26/05/2014 12:00:00 AM
1970,1988.45,1940,1972.85,27/05/2014 12:00:00 AM
1987.8,1987.8,1931.25,1949.75,28/05/2014 12:00:00 AM
1942.15,1961,1933,1942.6,29/05/2014 12:00:00 AM
1967.7,1967.7,1930,1953.15,30/05/2014 12:00:00 AM
1954,1990.95,1929.1,1975.9,02/06/2014 12:00:00 AM
1975.75,1991.1,1961.55,1968.95,03/06/2014 12:00:00 AM
1980,2023.65,1979.55,1999.75,04/06/2014 12:00:00 AM
2008.15,2014.6,1980,1999.7,05/06/2014 12:00:00 AM
2009.95,2049.8,1987.5,2045.9,06/06/2014 12:00:00 AM
2066,2175,2047,2156.5,09/06/2014 12:00:00 AM
2195,2207.2,2128.6,2150.8,10/06/2014 12:00:00 AM
2151,2186.5,2122,2175.25,11/06/2014 12:00:00 AM
2170,2193.05,2151,2182.65,12/06/2014 12:00:00 AM
2185,2228.75,2161.35,2167.35,13/06/2014 12:00:00 AM
2180,2208.85,2164.1,2172.55,16/06/2014 12:00:00 AM
2170,2175,2137.05,2162.4,17/06/2014 12:00:00 AM
2179.25,2181,2138.4,2149.85,18/06/2014 12:00:00 AM
2140,2171,2140,2160.85,19/06/2014 12:00:00 AM
2170,2199.95,2152.85,2174.7,20/06/2014 12:00:00 AM
2180,2210,2160.1,2194,23/06/2014 12:00:00 AM
2209,2235,2201.65,2220.65,24/06/2014 12:00:00 AM
2224,2294.85,2218.8,2279,25/06/2014 12:00:00 AM
2291,2319.25,2260,2285.05,26/06/2014 12:00:00 AM
2287.45,2316,2284,2308.6,27/06/2014 12:00:00 AM
2310.25,2329,2281.85,2313.2,30/06/2014 12:00:00 AM
2315,2350,2315,2329.75,01/07/2014 12:00:00 AM
2350,2363.9,2342,2351.45,02/07/2014 12:00:00 AM
2349,2349,2286.3,2295.35,03/07/2014 12:00:00 AM
2297,2311.95,2283.75,2298.65,04/07/2014 12:00:00 AM
2310,2320,2282,2300.1,07/07/2014 12:00:00 AM
2300,2323,2214,2238.7,08/07/2014 12:00:00 AM
2240,2240,2165,2168.95,09/07/2014 12:00:00 AM
2211,2211,2133.75,2151.55,10/07/2014 12:00:00 AM
2144,2175.55,2101.5,2136.05,11/07/2014 12:00:00 AM
2133,2152.1,2117,2127.3,14/07/2014 12:00:00 AM
2146.5,2167.5,2135,2158.65,15/07/2014 12:00:00 AM
2160.35,2160.35,2122.05,2140.25,16/07/2014 12:00:00 AM
2145,2155.55,2072,2091.7,17/07/2014 12:00:00 AM
2089.7,2089.7,2053,2081.4,18/07/2014 12:00:00 AM
2090,2103.75,2064,2071.85,21/07/2014 12:00:00 AM
2076,2085.7,2065.05,2073.4,22/07/2014 12:00:00 AM
2079.65,2112,2071.5,2104.15,23/07/2014 12:00:00 AM
2121.35,2123.05,2088,2106.6,24/07/2014 12:00:00 AM
2104.65,2110.55,2084.9,2103.1,25/07/2014 12:00:00 AM
2110,2110,2072,2083.4,28/07/2014 12:00:00 AM
2082.5,2098.05,2072.4,2081,30/07/2014 12:00:00 AM
2081,2086.85,2072,2078.2,31/07/2014 12:00:00 AM
