Open,High,Low,Close,Date
315.85,315.85,305.6,307.4,10/02/2014 12:00:00 AM
305,307.8,299.8,305.35,11/02/2014 12:00:00 AM
306,308.95,301.6,308.15,12/02/2014 12:00:00 AM
308,309.85,301.15,302.6,13/02/2014 12:00:00 AM
302.6,317.5,302.1,305.2,14/02/2014 12:00:00 AM
310,310.75,303.1,305.1,17/02/2014 12:00:00 AM
307,312,299.4,302.2,18/02/2014 12:00:00 AM
303,305.5,301.75,302.85,19/02/2014 12:00:00 AM
303,303.5,296.1,296.85,20/02/2014 12:00:00 AM
297.2,298.35,286.55,288.2,21/02/2014 12:00:00 AM
288.5,292,282.1,282.9,24/02/2014 12:00:00 AM
284.1,289.3,284.1,287.35,25/02/2014 12:00:00 AM
289.95,291.95,285.5,288.15,26/02/2014 12:00:00 AM
290,292.15,283.7,287.5,28/02/2014 12:00:00 AM
289.7,290.5,285.3,286.5,03/03/2014 12:00:00 AM
289.8,290.7,285.85,287.6,04/03/2014 12:00:00 AM
291,291,282.3,282.8,05/03/2014 12:00:00 AM
283.5,286.55,283.5,285.8,06/03/2014 12:00:00 AM
288.5,305.2,287.6,301.4,07/03/2014 12:00:00 AM
302.05,309.9,301.5,304.95,10/03/2014 12:00:00 AM
305,306.4,299,302.85,11/03/2014 12:00:00 AM
305,307,298.25,299.8,12/03/2014 12:00:00 AM
300.2,303.9,298.1,300.9,13/03/2014 12:00:00 AM
302,302.5,290.6,295.1,14/03/2014 12:00:00 AM
296,299.05,294,295.3,18/03/2014 12:00:00 AM
296.3,301.8,295.65,299.3,19/03/2014 12:00:00 AM
300.4,304.1,294,295.35,20/03/2014 12:00:00 AM
300,300,291.65,292.35,21/03/2014 12:00:00 AM
293,294.95,293,293.65,22/03/2014 12:00:00 AM
295,297.6,292.5,294.05,24/03/2014 12:00:00 AM
294.5,297,289.8,295.15,25/03/2014 12:00:00 AM
296.25,299.45,295,298.75,26/03/2014 12:00:00 AM
300.35,315.6,299.8,310.7,27/03/2014 12:00:00 AM
311,319,309.7,317.5,28/03/2014 12:00:00 AM
318,327,316.3,318.9,31/03/2014 12:00:00 AM
318,321.2,312.1,315.55,01/04/2014 12:00:00 AM
318.25,328.5,318.25,326.1,02/04/2014 12:00:00 AM
327,327.8,320.1,321.85,03/04/2014 12:00:00 AM
322,322,315.4,316.25,04/04/2014 12:00:00 AM
312,326,312,317.7,07/04/2014 12:00:00 AM
318.6,321.5,317,320.2,09/04/2014 12:00:00 AM
