Open,High,Low,Close,Date,Volume
269,271.1,267.4,270.05,10/02/2014 12:00:00 AM,100185
269.25,270.3,266,270,11/02/2014 12:00:00 AM,572718
267.9,270.8,265.3,269.9,12/02/2014 12:00:00 AM,855846
269.8,269.8,260,260.75,13/02/2014 12:00:00 AM,155125
260.3,262.8,256.75,260.55,14/02/2014 12:00:00 AM,133490
260,260,255.65,256.4,17/02/2014 12:00:00 AM,87270
255.55,256.8,253.25,255,18/02/2014 12:00:00 AM,145878
256.75,257.55,253.7,254.65,19/02/2014 12:00:00 AM,108513
253.6,256.4,250.25,251.3,20/02/2014 12:00:00 AM,171674
253.3,253.3,250.15,251.2,21/02/2014 12:00:00 AM,123811
251.2,254.95,251.15,252.05,24/02/2014 12:00:00 AM,116376
252.8,253.5,245.7,246.35,25/02/2014 12:00:00 AM,202935
245.7,246,240.5,243.6,26/02/2014 12:00:00 AM,369161
244.5,247.7,242.5,244,28/02/2014 12:00:00 AM,260537
244.5,245.25,240.8,244.35,03/03/2014 12:00:00 AM,699386
245,247.85,244.3,247.2,04/03/2014 12:00:00 AM,1388066
248.6,251.9,247.6,251.5,05/03/2014 12:00:00 AM,575366
251.7,257.6,251.7,256.9,06/03/2014 12:00:00 AM,221077
258,265.9,257.25,264.45,07/03/2014 12:00:00 AM,365656
263,264.15,257.35,258.5,10/03/2014 12:00:00 AM,234968
258,260.75,254.9,255.55,11/03/2014 12:00:00 AM,134514
254.75,260.35,252.85,259.75,12/03/2014 12:00:00 AM,187739
260,267.8,260,265,13/03/2014 12:00:00 AM,386599
264.5,267.4,261.45,263.85,14/03/2014 12:00:00 AM,154278
265.25,271,265.25,270.4,18/03/2014 12:00:00 AM,242355
270.6,275.5,262.15,263.3,19/03/2014 12:00:00 AM,1800951
263,263,256.3,260.25,20/03/2014 12:00:00 AM,204122
262,264.1,257.75,263.2,21/03/2014 12:00:00 AM,136328
263.2,264.95,262,263.4,22/03/2014 12:00:00 AM,10527
263.4,272,263.4,270.8,24/03/2014 12:00:00 AM,449023
266,274.8,266,273.9,25/03/2014 12:00:00 AM,214177
274.3,281.85,273.1,280.35,26/03/2014 12:00:00 AM,425756
279.9,284.25,276.4,279.95,27/03/2014 12:00:00 AM,304029
281,287.5,275.85,285.9,28/03/2014 12:00:00 AM,234720
287,292.1,284.35,287.9,31/03/2014 12:00:00 AM,276273
289.9,291,282.2,289.65,01/04/2014 12:00:00 AM,202908
291,292,285.25,287.2,02/04/2014 12:00:00 AM,121018
287,288,280,280.85,03/04/2014 12:00:00 AM,174015
282,284.6,275.3,282,04/04/2014 12:00:00 AM,254809
293,293,277,284.1,07/04/2014 12:00:00 AM,122285
283.6,289,283.6,288.05,09/04/2014 12:00:00 AM,166844
287,293.45,284.4,292.15,10/04/2014 12:00:00 AM,222258
289,294,287.55,293.05,11/04/2014 12:00:00 AM,239273
293,294.95,285.5,292.4,15/04/2014 12:00:00 AM,268158
291.1,295.35,286.4,289.7,16/04/2014 12:00:00 AM,183224
290,291.9,286.55,290.9,17/04/2014 12:00:00 AM,118154
290,297.55,290,296.25,21/04/2014 12:00:00 AM,172070
296,300.7,295.2,298.9,22/04/2014 12:00:00 AM,368748
300.9,303.5,297.35,302,23/04/2014 12:00:00 AM,221961
302,304.15,299.2,300.05,25/04/2014 12:00:00 AM,208116
298,299.4,294.25,295.75,28/04/2014 12:00:00 AM,80684
295,298.6,292.35,296.75,29/04/2014 12:00:00 AM,156418
298,299.95,289.5,291.7,30/04/2014 12:00:00 AM,195345
292,297.65,292,295.5,02/05/2014 12:00:00 AM,111066
296,299.1,293.75,296.65,05/05/2014 12:00:00 AM,98552
296.65,298,295.45,296.45,06/05/2014 12:00:00 AM,181382
295.25,298,294,295.4,07/05/2014 12:00:00 AM,103286
295,297.2,293.2,294.15,08/05/2014 12:00:00 AM,156745
294.3,310,294.15,309.05,09/05/2014 12:00:00 AM,418289
310,336.2,308.45,330.8,12/05/2014 12:00:00 AM,974855
336.7,342.35,325.4,331.65,13/05/2014 12:00:00 AM,767939
333,345.1,327.75,342.9,14/05/2014 12:00:00 AM,724410
342.9,345,330.6,340.7,15/05/2014 12:00:00 AM,429419
354,365.2,340.35,345.65,16/05/2014 12:00:00 AM,1566985
350,393.8,346,389.65,19/05/2014 12:00:00 AM,1338924
391.1,393,360.75,366.7,20/05/2014 12:00:00 AM,840416
366.7,374.5,355.45,372.15,21/05/2014 12:00:00 AM,1546971
378.2,401,378.2,389.95,22/05/2014 12:00:00 AM,1388454
398.7,400,389.9,397.55,23/05/2014 12:00:00 AM,764030
406,417,387.5,400.75,26/05/2014 12:00:00 AM,1120864
405,407,385.6,393.05,27/05/2014 12:00:00 AM,878996
393.4,394.8,378.6,380.35,28/05/2014 12:00:00 AM,512756
381,383.5,371.05,373.6,29/05/2014 12:00:00 AM,1120721
372.8,381.9,369,371.15,30/05/2014 12:00:00 AM,345029
370.5,376.45,367.05,373.35,02/06/2014 12:00:00 AM,325944
376.9,394.4,374,393.1,03/06/2014 12:00:00 AM,838750
394,395.75,385.55,390.2,04/06/2014 12:00:00 AM,330680
392.7,397.3,388,391.1,05/06/2014 12:00:00 AM,582387
393.5,397.15,389.1,391,06/06/2014 12:00:00 AM,578655
394,418.95,391.2,412.9,09/06/2014 12:00:00 AM,1530588
416.4,423.5,404.6,420.25,10/06/2014 12:00:00 AM,1341113
422.85,423.85,401.8,404.1,11/06/2014 12:00:00 AM,726199
406,406.25,391.45,394.75,12/06/2014 12:00:00 AM,570689
395.1,405.5,386,389.1,13/06/2014 12:00:00 AM,643406
389.35,393.2,378.5,389.4,16/06/2014 12:00:00 AM,506183
390.1,401.9,387.45,400.65,17/06/2014 12:00:00 AM,510851
402.8,403.9,389.6,394.05,18/06/2014 12:00:00 AM,507385
397,398.5,383.8,386.4,19/06/2014 12:00:00 AM,444213
382,394.5,381.3,386.45,20/06/2014 12:00:00 AM,431611
386.45,390.5,383.8,387.9,23/06/2014 12:00:00 AM,243596
389.55,394.7,386.1,391.6,24/06/2014 12:00:00 AM,261053
394,400.25,392.55,397.7,25/06/2014 12:00:00 AM,274127
400,403,386.9,388.6,26/06/2014 12:00:00 AM,337650
