Open,High,Low,Close,Date
707.4,710.75,700,708.2,10/02/2014 12:00:00 AM
707.5,740,707.5,736.88,11/02/2014 12:00:00 AM
739,754.7,739,745.8,12/02/2014 12:00:00 AM
745.28,751,740.5,744.75,13/02/2014 12:00:00 AM
750.5,756.9,739.48,748.68,14/02/2014 12:00:00 AM
752.5,760.3,749.03,751.98,17/02/2014 12:00:00 AM
751.5,753.63,742.03,744.85,18/02/2014 12:00:00 AM
747,750,737.6,747.3,19/02/2014 12:00:00 AM
750,750,733.53,736.68,20/02/2014 12:00:00 AM
737.9,773,737.43,769.13,21/02/2014 12:00:00 AM
768,769.13,760.63,765.45,24/02/2014 12:00:00 AM
765.75,776.75,765.75,774.48,25/02/2014 12:00:00 AM
776.45,789.73,771,786.45,26/02/2014 12:00:00 AM
785,794.33,774.05,788,28/02/2014 12:00:00 AM
786.5,786.6,746.5,752.28,03/03/2014 12:00:00 AM
757,762.25,737.9,740.88,04/03/2014 12:00:00 AM
742.5,747.45,727,730.9,05/03/2014 12:00:00 AM
731.63,749.58,731.63,745.15,06/03/2014 12:00:00 AM
746.45,751.5,727.9,742.08,07/03/2014 12:00:00 AM
740,744.1,719,721.23,10/03/2014 12:00:00 AM
722,733.5,719.5,726.83,11/03/2014 12:00:00 AM
727.45,733.98,720.2,729.48,12/03/2014 12:00:00 AM
723,739.5,718.83,728.85,13/03/2014 12:00:00 AM
727.5,727.5,703.05,707.75,14/03/2014 12:00:00 AM
711,714.43,704.5,706.33,18/03/2014 12:00:00 AM
705,709.85,685.8,701,19/03/2014 12:00:00 AM
703,712.83,699.08,703.7,20/03/2014 12:00:00 AM
708,728.3,699.5,713.2,21/03/2014 12:00:00 AM
715.48,723.03,713.5,718,22/03/2014 12:00:00 AM
719.73,724.9,704.5,707.23,24/03/2014 12:00:00 AM
712,714.65,695,698.38,25/03/2014 12:00:00 AM
702.5,704.5,692.6,698.53,26/03/2014 12:00:00 AM
698.25,700,691.6,694.6,27/03/2014 12:00:00 AM
697.5,711.23,696.5,703.48,28/03/2014 12:00:00 AM
707.5,707.5,690.55,695.25,31/03/2014 12:00:00 AM
706,714.63,700.35,709.08,01/04/2014 12:00:00 AM
713.05,717.48,710.5,712.48,02/04/2014 12:00:00 AM
717.5,719.6,706.6,712,03/04/2014 12:00:00 AM
716,719.5,697.55,698.73,04/04/2014 12:00:00 AM
705.05,707,692.55,702.88,07/04/2014 12:00:00 AM
702.75,702.75,683.68,690.05,09/04/2014 12:00:00 AM
690,694.43,675,678.88,10/04/2014 12:00:00 AM
674.5,702,668.53,700.28,11/04/2014 12:00:00 AM
705,717.75,697,712.23,15/04/2014 12:00:00 AM
715,717.2,701.48,704.7,16/04/2014 12:00:00 AM
723,727.5,707.83,712.15,17/04/2014 12:00:00 AM
715,720.25,711.03,717.55,21/04/2014 12:00:00 AM
720,729,718.25,726.03,22/04/2014 12:00:00 AM
726,728.6,717.9,721.53,23/04/2014 12:00:00 AM
723.5,731.08,716.05,722.75,25/04/2014 12:00:00 AM
722.65,726.75,708,709.6,28/04/2014 12:00:00 AM
710.55,717.18,704.5,707.3,29/04/2014 12:00:00 AM
707.5,713.65,698.05,701.83,30/04/2014 12:00:00 AM
704.8,718.1,692.7,713.1,02/05/2014 12:00:00 AM
716,719,686.3,690.45,05/05/2014 12:00:00 AM
691.5,696,684.8,691.78,06/05/2014 12:00:00 AM
696.08,701.63,657.5,660.35,07/05/2014 12:00:00 AM
669,673.05,656.85,669.48,08/05/2014 12:00:00 AM
670.63,688.85,667.95,685.5,09/05/2014 12:00:00 AM
683.5,698,672,694.85,12/05/2014 12:00:00 AM
700,721.65,699.15,716.53,13/05/2014 12:00:00 AM
712.75,722.78,698.45,705.03,14/05/2014 12:00:00 AM
706,713,696.5,701.95,15/05/2014 12:00:00 AM
704.5,722,680.08,682.5,16/05/2014 12:00:00 AM
684,686.05,628.5,651.95,19/05/2014 12:00:00 AM
652,671.68,632,653.75,20/05/2014 12:00:00 AM
661.5,675,655.68,666.05,21/05/2014 12:00:00 AM
670,670,656.75,660.2,22/05/2014 12:00:00 AM
661,674.98,660.75,668.33,23/05/2014 12:00:00 AM
670.5,712,667.5,695.15,26/05/2014 12:00:00 AM
694.03,712.03,682.43,689.05,27/05/2014 12:00:00 AM
699.25,725.7,689.53,719.98,28/05/2014 12:00:00 AM
725.55,727.28,694.1,701.65,29/05/2014 12:00:00 AM
702.5,712.5,689.1,708.68,30/05/2014 12:00:00 AM
712.5,713,689.23,691.05,02/06/2014 12:00:00 AM
706.5,709.5,671,673.75,03/06/2014 12:00:00 AM
685,685,651.5,654.6,04/06/2014 12:00:00 AM
655.3,669.48,654.28,665.88,05/06/2014 12:00:00 AM
670.9,670.9,657.78,663.93,06/06/2014 12:00:00 AM
672.45,684.95,665.63,683.15,09/06/2014 12:00:00 AM
684.98,698.5,683.05,696.7,10/06/2014 12:00:00 AM
700.5,709,695,701.8,11/06/2014 12:00:00 AM
703.5,710.68,692.5,703.58,12/06/2014 12:00:00 AM
705,721,694.8,717.53,13/06/2014 12:00:00 AM
721.05,724.5,707.5,711.38,16/06/2014 12:00:00 AM
714.5,736.23,714.5,726.53,17/06/2014 12:00:00 AM
725,730.8,712.5,716.73,18/06/2014 12:00:00 AM
715,731.98,705.18,728.8,19/06/2014 12:00:00 AM
734.98,734.98,717.5,720.3,20/06/2014 12:00:00 AM
720.5,723.7,706,708.9,23/06/2014 12:00:00 AM
708,709.95,702.5,707.3,24/06/2014 12:00:00 AM
712.25,718.53,703.8,708.95,25/06/2014 12:00:00 AM
710,724.25,708.08,717.35,26/06/2014 12:00:00 AM
717.18,742.5,714.23,740.63,27/06/2014 12:00:00 AM
744.05,753.5,743.78,748.28,30/06/2014 12:00:00 AM
750.28,755,739.15,750.7,01/07/2014 12:00:00 AM
745.75,747,736.55,740.18,02/07/2014 12:00:00 AM
740,741.5,731.5,733.53,03/07/2014 12:00:00 AM
736,742.23,734.5,740.28,04/07/2014 12:00:00 AM
736,756.5,736,754,07/07/2014 12:00:00 AM
760.55,761.63,733.25,737.13,08/07/2014 12:00:00 AM
737.5,743.5,727.5,735.08,09/07/2014 12:00:00 AM
737.5,747.5,731.15,735.58,10/07/2014 12:00:00 AM
748.5,754.5,741.3,750,11/07/2014 12:00:00 AM
748.35,750,720,724.8,14/07/2014 12:00:00 AM
726.5,736,726.15,730.58,15/07/2014 12:00:00 AM
735,737.5,725.73,733.2,16/07/2014 12:00:00 AM
739,741.33,730,733.15,17/07/2014 12:00:00 AM
735,753.2,735,749.5,18/07/2014 12:00:00 AM
754.75,759,750.5,752.95,21/07/2014 12:00:00 AM
752.5,765.73,748.7,764.45,22/07/2014 12:00:00 AM
767.5,775,759.7,770.5,23/07/2014 12:00:00 AM
772.5,793,772.5,790.2,24/07/2014 12:00:00 AM
792.5,793.5,779.35,790.58,25/07/2014 12:00:00 AM
791,812.23,791,806.38,28/07/2014 12:00:00 AM
806,815,795,798.68,30/07/2014 12:00:00 AM
798.5,798.5,770.55,777.45,31/07/2014 12:00:00 AM
775,777.5,755,757.78,01/08/2014 12:00:00 AM
758.9,781.5,758.9,776.85,04/08/2014 12:00:00 AM
775.5,780.53,764.3,771.18,05/08/2014 12:00:00 AM
770.75,779.4,767.25,772.55,06/08/2014 12:00:00 AM
770,775,755,760.38,07/08/2014 12:00:00 AM
760,769.75,757.18,763.88,08/08/2014 12:00:00 AM
765.58,770.5,751.1,757.55,11/08/2014 12:00:00 AM
759.9,760.5,751.9,758.85,12/08/2014 12:00:00 AM
759.95,782.25,755.05,777.25,13/08/2014 12:00:00 AM
785,794,762.15,770.2,14/08/2014 12:00:00 AM
781.85,781.85,760,763.65,18/08/2014 12:00:00 AM
766,771,763.5,768.9,19/08/2014 12:00:00 AM
769.5,783.88,769.5,778.98,20/08/2014 12:00:00 AM
782,791.93,770.25,776.9,21/08/2014 12:00:00 AM
779.5,805.98,778.03,797.03,22/08/2014 12:00:00 AM
798,808.4,775,798.13,25/08/2014 12:00:00 AM
797.5,808.4,784.3,798.63,26/08/2014 12:00:00 AM
807.5,825.75,803.38,822.73,27/08/2014 12:00:00 AM
825,833,812.65,815.18,28/08/2014 12:00:00 AM
820,827.25,815.85,818.15,01/09/2014 12:00:00 AM
820,828.48,812.53,821.95,02/09/2014 12:00:00 AM
825,836,822.55,829.03,03/09/2014 12:00:00 AM
832.5,836.65,826.7,828.85,04/09/2014 12:00:00 AM
834,835.68,825.63,831.48,05/09/2014 12:00:00 AM
832.53,840,827.55,832.9,08/09/2014 12:00:00 AM
835,835,818.08,820.35,09/09/2014 12:00:00 AM
825,827.65,815,818.85,10/09/2014 12:00:00 AM
818.1,827.2,810.75,818.33,11/09/2014 12:00:00 AM
820,820,806.5,811.6,12/09/2014 12:00:00 AM
811,812.5,802.35,804.05,15/09/2014 12:00:00 AM
804.25,818.73,797.83,803.65,16/09/2014 12:00:00 AM
804.98,820,801.48,813.13,17/09/2014 12:00:00 AM
819,825.25,805.4,817.93,18/09/2014 12:00:00 AM
819.25,855,818.45,835.15,19/09/2014 12:00:00 AM
835,852,827.5,849.88,22/09/2014 12:00:00 AM
849.88,867.15,849,861.95,23/09/2014 12:00:00 AM
862.5,867,851.9,855.2,24/09/2014 12:00:00 AM
855.2,865.03,849.23,855.98,25/09/2014 12:00:00 AM
856.25,862.45,846.75,857.28,26/09/2014 12:00:00 AM
857.5,862.88,848.5,852.88,29/09/2014 12:00:00 AM
855,861,853.93,857.68,30/09/2014 12:00:00 AM
855.58,877.98,855.58,869.98,01/10/2014 12:00:00 AM
862.5,887.7,862.5,865.68,07/10/2014 12:00:00 AM
863.5,871.33,833.05,837.38,08/10/2014 12:00:00 AM
845,855,836.5,847.4,09/10/2014 12:00:00 AM
850,872,843.2,869.35,10/10/2014 12:00:00 AM
865.05,883.5,862.5,876.6,13/10/2014 12:00:00 AM
880,880,859,861.78,14/10/2014 12:00:00 AM
860,870,824.15,828,16/10/2014 12:00:00 AM
795.55,800,748.48,752.78,17/10/2014 12:00:00 AM
762.5,772.5,740.03,748.45,20/10/2014 12:00:00 AM
748.5,754.95,738.28,752.5,21/10/2014 12:00:00 AM
764,764,751.15,756.6,22/10/2014 12:00:00 AM
764.75,765,756.75,762.2,23/10/2014 12:00:00 AM
765,767.5,744.05,748.18,27/10/2014 12:00:00 AM
749.98,754.4,740.23,750.53,28/10/2014 12:00:00 AM
748.5,759,748.5,756.08,29/10/2014 12:00:00 AM
759.85,792.5,759.5,788.6,30/10/2014 12:00:00 AM
790,811.93,790,802.63,31/10/2014 12:00:00 AM
817,817,783,785.08,03/11/2014 12:00:00 AM
789.45,803.2,778.05,801.48,05/11/2014 12:00:00 AM
802,812,801.48,807.13,07/11/2014 12:00:00 AM
807.55,812.25,792.8,806.25,10/11/2014 12:00:00 AM
805,812.7,805,807.53,11/11/2014 12:00:00 AM
807.53,808.08,796.33,802.5,12/11/2014 12:00:00 AM
802,823.43,794.25,819.7,13/11/2014 12:00:00 AM
814,825,802.55,805.28,14/11/2014 12:00:00 AM
807,811.98,799.53,809.45,17/11/2014 12:00:00 AM
801,809.8,797.5,800.13,18/11/2014 12:00:00 AM
800.78,817.18,800.78,815.43,19/11/2014 12:00:00 AM
817.55,826,811.98,824.33,20/11/2014 12:00:00 AM
828,828,814,820.35,21/11/2014 12:00:00 AM
825,840.5,819.28,835.3,24/11/2014 12:00:00 AM
841,848,810.5,826.93,25/11/2014 12:00:00 AM
823.1,823.9,808.08,815.68,26/11/2014 12:00:00 AM
816.25,834.85,811.43,830.68,27/11/2014 12:00:00 AM
835,839.4,822.55,831.08,28/11/2014 12:00:00 AM
831.5,844.95,827.03,837.45,01/12/2014 12:00:00 AM
832.5,835,819,820.98,02/12/2014 12:00:00 AM
832.75,832.75,816.3,826.25,03/12/2014 12:00:00 AM
825,828.95,807.5,811.75,04/12/2014 12:00:00 AM
813,813.3,796,797.6,05/12/2014 12:00:00 AM
799,799,771.6,781.15,08/12/2014 12:00:00 AM
785,787.83,774.23,779.9,09/12/2014 12:00:00 AM
780.05,789.85,775,786.58,10/12/2014 12:00:00 AM
784.95,789.08,772.5,776.7,11/12/2014 12:00:00 AM
776.7,783.15,752.2,756.03,12/12/2014 12:00:00 AM
751.05,752.53,725.18,743.15,15/12/2014 12:00:00 AM
736.5,782.4,736.5,777.2,16/12/2014 12:00:00 AM
785,785,755.03,769.05,17/12/2014 12:00:00 AM
770.5,779.78,760.65,776.45,18/12/2014 12:00:00 AM
779.98,798,772.75,793.4,19/12/2014 12:00:00 AM
794,796.9,782.65,793.45,22/12/2014 12:00:00 AM
787.05,790,761.5,768.05,23/12/2014 12:00:00 AM
775,781,725.68,771.65,24/12/2014 12:00:00 AM
771.55,784.95,761.5,782.2,26/12/2014 12:00:00 AM
783.5,793,783.5,788.28,29/12/2014 12:00:00 AM
791.5,796.8,785.5,793.13,30/12/2014 12:00:00 AM
793.5,805.75,782.5,797.98,31/12/2014 12:00:00 AM
798,805.7,793.75,801.73,01/01/2015 12:00:00 AM
796,809.08,796,802.53,02/01/2015 12:00:00 AM
802.75,806.43,786.8,790.65,05/01/2015 12:00:00 AM
