Open,High,Low,Close,Date,Volume
792.4,792.4,764.05,766.2,10/02/2014 12:00:00 AM,93712
768,777.25,765.3,775.2,11/02/2014 12:00:00 AM,102649
783.35,786.9,774.3,785.2,12/02/2014 12:00:00 AM,223166
781,783.45,764.1,766.15,13/02/2014 12:00:00 AM,159282
767,774.8,755.6,771.7,14/02/2014 12:00:00 AM,90143
771,788,771,780.55,17/02/2014 12:00:00 AM,258670
780,807.2,780,803.9,18/02/2014 12:00:00 AM,109831
805,807.9,793,805.6,19/02/2014 12:00:00 AM,40948
803,804.55,790,792.5,20/02/2014 12:00:00 AM,28991
793,803.55,791.4,798.4,21/02/2014 12:00:00 AM,166677
802,813.8,788.9,810.65,24/02/2014 12:00:00 AM,445399
819.75,819.75,807.55,811,25/02/2014 12:00:00 AM,80579
813,821.9,809.9,819,26/02/2014 12:00:00 AM,50439
819,823.7,810.95,818.35,28/02/2014 12:00:00 AM,45705
811.05,824.5,808.5,811,03/03/2014 12:00:00 AM,58317
814.6,824,814.6,821.85,04/03/2014 12:00:00 AM,42455
826.45,828,813.1,826.85,05/03/2014 12:00:00 AM,34686
827,839.75,824.75,837.2,06/03/2014 12:00:00 AM,135791
839,853.5,837.75,848.6,07/03/2014 12:00:00 AM,781916
847,857.6,830.6,849.05,10/03/2014 12:00:00 AM,230871
850,856,842.3,851.3,11/03/2014 12:00:00 AM,267200
850,857.5,845.4,854.35,12/03/2014 12:00:00 AM,135030
850.1,868.5,850.1,866.25,13/03/2014 12:00:00 AM,138817
858,862.4,852,856.8,14/03/2014 12:00:00 AM,789874
850.25,858.2,841,851.45,18/03/2014 12:00:00 AM,93625
855,867.85,855,866.5,19/03/2014 12:00:00 AM,69476
863,868.25,845.75,848.1,20/03/2014 12:00:00 AM,54365
850.1,857.2,839.95,841.65,21/03/2014 12:00:00 AM,216154
845,846,840.05,841.85,22/03/2014 12:00:00 AM,10337
848,862,842.75,860.1,24/03/2014 12:00:00 AM,174875
855,873,855,870.45,25/03/2014 12:00:00 AM,199387
872,874,860,866.65,26/03/2014 12:00:00 AM,250054
870,879.45,861,875.2,27/03/2014 12:00:00 AM,109664
875,880,856,873.3,28/03/2014 12:00:00 AM,100477
873.5,887.15,873.5,883.8,31/03/2014 12:00:00 AM,90114
884.6,892.35,870.95,887.6,01/04/2014 12:00:00 AM,222752
893,904.75,889.5,897.25,02/04/2014 12:00:00 AM,2169718
903,906.55,892.3,903.55,03/04/2014 12:00:00 AM,55584
905,905,892.85,895.1,04/04/2014 12:00:00 AM,56492
900,900,881.05,895,07/04/2014 12:00:00 AM,23987
900,926.3,897,921.5,09/04/2014 12:00:00 AM,120020
923,933,916.5,926.8,10/04/2014 12:00:00 AM,114373
918,922.95,899.95,917.65,11/04/2014 12:00:00 AM,70809
918.65,918.65,881.8,887.8,15/04/2014 12:00:00 AM,68129
883,883,865.1,870.65,16/04/2014 12:00:00 AM,70297
870,881.9,866,880.05,17/04/2014 12:00:00 AM,70286
878,881.9,870.5,877,21/04/2014 12:00:00 AM,44164
880,886.55,871.05,874.55,22/04/2014 12:00:00 AM,70860
876,881.9,862.25,878.15,23/04/2014 12:00:00 AM,100696
878.15,895.5,878.15,892.35,25/04/2014 12:00:00 AM,59913
886,889.6,880.75,884.95,28/04/2014 12:00:00 AM,31294
887.8,891.35,877.45,887.35,29/04/2014 12:00:00 AM,37674
890,903.5,888,897.55,30/04/2014 12:00:00 AM,59348
900.5,913.95,898.4,908.05,02/05/2014 12:00:00 AM,128641
912,912,883.9,887.2,05/05/2014 12:00:00 AM,43130
890.25,895,873.9,877.25,06/05/2014 12:00:00 AM,139601
881.9,882.05,850.95,853.1,07/05/2014 12:00:00 AM,83059
864,864,840.6,849.25,08/05/2014 12:00:00 AM,81699
859.95,888,852.95,883.8,09/05/2014 12:00:00 AM,81666
885,911.5,870,892.6,12/05/2014 12:00:00 AM,146213
899,915,899,906.5,13/05/2014 12:00:00 AM,142993
906.5,914,883.85,888.3,14/05/2014 12:00:00 AM,67203
885,908.65,876.05,902.4,15/05/2014 12:00:00 AM,117263
909,955,879.6,885.45,16/05/2014 12:00:00 AM,624953
901.25,931.5,899,915.55,19/05/2014 12:00:00 AM,414652
927,944.75,915,940.75,20/05/2014 12:00:00 AM,1184280
946.5,946.5,933,940.65,21/05/2014 12:00:00 AM,628398
945,945,916.2,919.65,22/05/2014 12:00:00 AM,110400
929.95,938.4,919,931.55,23/05/2014 12:00:00 AM,328667
935,944.5,916,926.5,26/05/2014 12:00:00 AM,551775
923.5,933.1,908,910.95,27/05/2014 12:00:00 AM,210637
920.6,920.6,893.25,902.75,28/05/2014 12:00:00 AM,375135
910.3,914.55,888.7,893.85,29/05/2014 12:00:00 AM,60393
908.5,908.5,863.5,876.6,30/05/2014 12:00:00 AM,180721
890,905.5,873.45,897.55,02/06/2014 12:00:00 AM,74996
900,918,895,912.75,03/06/2014 12:00:00 AM,61084
920,924.4,899,902.35,04/06/2014 12:00:00 AM,78687
909.3,918.9,891,908.2,05/06/2014 12:00:00 AM,110310
916,937.9,906.75,935.1,06/06/2014 12:00:00 AM,154217
939,948,935.1,945.45,09/06/2014 12:00:00 AM,78451
970,970,931.35,953.1,10/06/2014 12:00:00 AM,159999
953,958.35,932.4,953.65,11/06/2014 12:00:00 AM,118593
950,981.7,950,978.6,12/06/2014 12:00:00 AM,183029
980.9,982.85,971.4,977.35,13/06/2014 12:00:00 AM,148701
975,983.75,956.5,962.85,16/06/2014 12:00:00 AM,66708
955,971.4,942.05,966.3,17/06/2014 12:00:00 AM,578137
966,970.5,953,958.1,18/06/2014 12:00:00 AM,42373
958,969,955.75,966.8,19/06/2014 12:00:00 AM,1001705
970,975.9,963,966.75,20/06/2014 12:00:00 AM,54016
970,974.75,961,966.75,23/06/2014 12:00:00 AM,141297
973.1,998,973,993.95,24/06/2014 12:00:00 AM,742181
994,1002.9,989,995.05,25/06/2014 12:00:00 AM,177476
999.45,1001.5,971,976.95,26/06/2014 12:00:00 AM,514926
982,997.75,972,976.15,27/06/2014 12:00:00 AM,144761
981,996,975.3,990.65,30/06/2014 12:00:00 AM,179976
988.95,997,980,981.65,01/07/2014 12:00:00 AM,58845
990,1011,990,1008.3,02/07/2014 12:00:00 AM,235727
1011,1011,1001.15,1005.4,03/07/2014 12:00:00 AM,20502
997.35,1014,993.35,1009.35,04/07/2014 12:00:00 AM,63106
1015,1020.25,999.95,1017.5,07/07/2014 12:00:00 AM,238739
1022,1045.2,1018.1,1022.4,08/07/2014 12:00:00 AM,129471
1022,1030,1006,1014,09/07/2014 12:00:00 AM,86319
1015,1044.7,1003.95,1023.2,10/07/2014 12:00:00 AM,146077
1016,1016.1,982,990.75,11/07/2014 12:00:00 AM,95774
989.7,1011,980.15,983.75,14/07/2014 12:00:00 AM,47133
988,991.55,969.15,977.4,15/07/2014 12:00:00 AM,68270
972,987.95,947,975.9,16/07/2014 12:00:00 AM,234196
980,985,970,973.45,17/07/2014 12:00:00 AM,45179
974.5,988,970,981.05,18/07/2014 12:00:00 AM,59850
986.85,1015.75,986.85,1011.05,21/07/2014 12:00:00 AM,159098
1011,1044.9,1008,1040.7,22/07/2014 12:00:00 AM,132173
1045,1045,1031.8,1035.75,23/07/2014 12:00:00 AM,73009
1037.9,1039.5,1023.6,1035.45,24/07/2014 12:00:00 AM,64603
1037,1075.6,1037,1064.35,25/07/2014 12:00:00 AM,623621
1066.85,1070.65,1046.5,1066.45,28/07/2014 12:00:00 AM,81643
1070,1089,1055.75,1084.7,30/07/2014 12:00:00 AM,146108
1084.7,1086,1063,1067.35,31/07/2014 12:00:00 AM,84660
1060,1060,1036,1039.45,01/08/2014 12:00:00 AM,47235
1041,1044.9,1016.2,1031,04/08/2014 12:00:00 AM,62905
1030,1055.6,1010.25,1044.9,05/08/2014 12:00:00 AM,81094
1047,1058.95,1030,1035.8,06/08/2014 12:00:00 AM,79965
1046.9,1046.9,1022.65,1028.95,07/08/2014 12:00:00 AM,98805
1020,1028.95,1017.15,1026.25,08/08/2014 12:00:00 AM,56150
1028,1068,1028,1058.7,11/08/2014 12:00:00 AM,67628
1073.1,1121,1069.4,1115.75,12/08/2014 12:00:00 AM,180061
1115,1145,1107,1140.95,13/08/2014 12:00:00 AM,118172
1146,1149.9,1112.1,1124.5,14/08/2014 12:00:00 AM,77950
1122,1124.65,1107.8,1112.75,18/08/2014 12:00:00 AM,87887
