Open,High,Low,Close,Date,Volume
647.55,649.75,636.85,643.75,10/02/2014 12:00:00 AM,90557
644,646.8,640.55,645.1,11/02/2014 12:00:00 AM,37639
647,652.6,643.5,645.65,12/02/2014 12:00:00 AM,298259
648,648,632.15,633.25,13/02/2014 12:00:00 AM,34338
635,644.7,629.6,641.75,14/02/2014 12:00:00 AM,54567
646.2,653,641.5,650.55,17/02/2014 12:00:00 AM,108450
650.6,664.9,646.25,660.55,18/02/2014 12:00:00 AM,83468
660,672.7,655.4,669.35,19/02/2014 12:00:00 AM,64297
668,668,661.25,662.75,20/02/2014 12:00:00 AM,75473
663.45,669.8,661.2,664.8,21/02/2014 12:00:00 AM,132661
664,673.5,656,670.2,24/02/2014 12:00:00 AM,178292
672,676,666.55,670.8,25/02/2014 12:00:00 AM,101354
669.4,678.85,669.4,676.4,26/02/2014 12:00:00 AM,45930
680,682.15,665,667.5,28/02/2014 12:00:00 AM,264135
666,672.55,663.35,666.15,03/03/2014 12:00:00 AM,45668
661.15,671.9,661.15,670.45,04/03/2014 12:00:00 AM,58819
672.5,674,663.05,669.1,05/03/2014 12:00:00 AM,56573
671,677.4,668.15,675.5,06/03/2014 12:00:00 AM,76284
676.2,714.85,676.2,711.35,07/03/2014 12:00:00 AM,377826
705,737.7,703,734.35,10/03/2014 12:00:00 AM,474237
735.2,740,720,725.35,11/03/2014 12:00:00 AM,450380
724.7,732.75,713.85,725.55,12/03/2014 12:00:00 AM,114603
732.75,749.25,729,742.25,13/03/2014 12:00:00 AM,193682
737,739,724.1,731.7,14/03/2014 12:00:00 AM,348057
732.05,744.3,728.15,733.75,18/03/2014 12:00:00 AM,209188
738,743.1,735,737.8,19/03/2014 12:00:00 AM,178110
737.75,738,727.95,730.8,20/03/2014 12:00:00 AM,65107
735,737.15,731.5,733.85,21/03/2014 12:00:00 AM,266087
733.55,734.05,729.9,731.95,22/03/2014 12:00:00 AM,5603
739.9,752.9,734,750.45,24/03/2014 12:00:00 AM,565526
751.75,760.5,747.8,749.6,25/03/2014 12:00:00 AM,128198
751.55,755.8,744,746,26/03/2014 12:00:00 AM,194124
750,760,742.25,746.95,27/03/2014 12:00:00 AM,175003
749.7,753.15,735.5,744.95,28/03/2014 12:00:00 AM,516464
747.95,753,743.05,748.85,31/03/2014 12:00:00 AM,876315
753,754,732.5,738.1,01/04/2014 12:00:00 AM,327440
745,746,721.1,730.55,02/04/2014 12:00:00 AM,280021
736.5,738.15,726,728.4,03/04/2014 12:00:00 AM,78344
728,732.9,721,725.8,04/04/2014 12:00:00 AM,115433
727,735,723.15,725.35,07/04/2014 12:00:00 AM,92386
726,746.45,722.5,742.1,09/04/2014 12:00:00 AM,243469
744.35,748.4,736.15,738.85,10/04/2014 12:00:00 AM,192286
737,744.15,734,737.85,11/04/2014 12:00:00 AM,65984
737.9,737.9,718.9,723.4,15/04/2014 12:00:00 AM,71876
724,731.35,721.35,725.25,16/04/2014 12:00:00 AM,78712
715,720.7,707.5,718.55,17/04/2014 12:00:00 AM,177079
721.1,727.05,713.05,716.6,21/04/2014 12:00:00 AM,106166
720.35,728.65,718.5,726.35,22/04/2014 12:00:00 AM,378755
726.5,739.05,723.5,734.25,23/04/2014 12:00:00 AM,238397
733,737.5,725,726.25,25/04/2014 12:00:00 AM,197668
726,729,721.05,725.3,28/04/2014 12:00:00 AM,143138
725.2,727.45,712.35,715.9,29/04/2014 12:00:00 AM,171616
716.25,728.4,712,718.25,30/04/2014 12:00:00 AM,261846
724.25,728.4,715.7,716.85,02/05/2014 12:00:00 AM,86790
721.4,722.85,714.45,716.9,05/05/2014 12:00:00 AM,69246
717.2,723.55,714.5,719.7,06/05/2014 12:00:00 AM,59633
715,726.7,712.2,716.05,07/05/2014 12:00:00 AM,50076
717.55,723,715.8,719.05,08/05/2014 12:00:00 AM,56270
719.3,760,719.3,757.2,09/05/2014 12:00:00 AM,241437
755,794.4,754.85,791.95,12/05/2014 12:00:00 AM,309837
799.9,800.4,782.55,787.2,13/05/2014 12:00:00 AM,265541
786,795,774,775.25,14/05/2014 12:00:00 AM,119854
770,790.35,767.35,788.1,15/05/2014 12:00:00 AM,255799
793,852.35,788.3,804.7,16/05/2014 12:00:00 AM,789041
813,834.45,808.25,811.8,19/05/2014 12:00:00 AM,184330
819,821.1,804.1,815.65,20/05/2014 12:00:00 AM,153753
815,815,805.4,809.85,21/05/2014 12:00:00 AM,73023
809.05,812.1,798.35,802.6,22/05/2014 12:00:00 AM,98749
800.5,802,782.85,789.5,23/05/2014 12:00:00 AM,203411
