Open,High,Low,Close,Date,Volume
2010,2020.15,1987.6,1997.4,10/02/2014 12:00:00 AM,6732
2001,2004,1960,1960.85,11/02/2014 12:00:00 AM,12834
1965,1984.05,1965,1974.8,12/02/2014 12:00:00 AM,6736
1980,1990,1959,1972.05,13/02/2014 12:00:00 AM,8132
1972,1979.75,1915,1936.7,14/02/2014 12:00:00 AM,11074
1944,2015,1920,1975.25,17/02/2014 12:00:00 AM,30057
1979,1995.25,1973,1977.55,18/02/2014 12:00:00 AM,11427
1981,1995.75,1942.25,1947.05,19/02/2014 12:00:00 AM,15156
1951,1954,1921,1928.1,20/02/2014 12:00:00 AM,13203
1932,1945.3,1907,1918.35,21/02/2014 12:00:00 AM,20580
1920,1954.9,1918.85,1950.35,24/02/2014 12:00:00 AM,11426
1952,1956,1930.15,1951.1,25/02/2014 12:00:00 AM,9390
1957.6,1978.8,1935,1973.05,26/02/2014 12:00:00 AM,12279
1973.05,1991,1943.05,1965.1,28/02/2014 12:00:00 AM,19544
1964,1967,1952.1,1956.1,03/03/2014 12:00:00 AM,6042
1965,1986,1940.7,1978.95,04/03/2014 12:00:00 AM,11808
1989,1990,1960,1971.75,05/03/2014 12:00:00 AM,11638
1977,2015.5,1972,2011.7,06/03/2014 12:00:00 AM,10986
2013,2058.05,1987.1,2003.2,07/03/2014 12:00:00 AM,23464
2005,2028.8,1989.15,2016.65,10/03/2014 12:00:00 AM,17125
2020,2034,2001.05,2018,11/03/2014 12:00:00 AM,17116
2019,2067.7,2017,2063.15,12/03/2014 12:00:00 AM,33169
2062,2113,2062,2100.6,13/03/2014 12:00:00 AM,20918
2090.05,2139.95,2080,2125.35,14/03/2014 12:00:00 AM,17833
2124,2149.5,2085.55,2129.6,18/03/2014 12:00:00 AM,23713
2135,2145.25,2106.5,2117.15,19/03/2014 12:00:00 AM,6806
2105.25,2122,2060,2107.85,20/03/2014 12:00:00 AM,16949
2100,2114.05,2055.85,2066.9,21/03/2014 12:00:00 AM,12179
2067,2082.9,2062,2071.2,22/03/2014 12:00:00 AM,967
2070,2125,2066,2122.6,24/03/2014 12:00:00 AM,13070
2101.05,2198.4,2093.5,2190.6,25/03/2014 12:00:00 AM,25463
2171,2203.95,2145,2176.75,26/03/2014 12:00:00 AM,32837
2165,2257,2165,2244.45,27/03/2014 12:00:00 AM,27960
2255,2260,2215,2246.5,28/03/2014 12:00:00 AM,16374
2245.25,2298,2243,2272.85,31/03/2014 12:00:00 AM,14752
2276.05,2281.25,2240,2248.55,01/04/2014 12:00:00 AM,10681
2271,2282.4,2245,2250.15,02/04/2014 12:00:00 AM,11158
2251.05,2258.05,2234.25,2250.65,03/04/2014 12:00:00 AM,11197
2250,2258,2226.05,2250.1,04/04/2014 12:00:00 AM,16783
2250,2320,2218,2238.9,07/04/2014 12:00:00 AM,11240
2238.9,2250,2210,2243.3,09/04/2014 12:00:00 AM,10276
2241,2242.1,2190,2205.1,10/04/2014 12:00:00 AM,14750
2195.05,2206.15,2164.35,2171.55,11/04/2014 12:00:00 AM,11915
2172,2235.35,2124,2222.4,15/04/2014 12:00:00 AM,25071
2214.15,2244.8,2162.25,2168.1,16/04/2014 12:00:00 AM,18733
2175.1,2223.8,2165,2217.7,17/04/2014 12:00:00 AM,9560
2219,2249.75,2211.9,2246.2,21/04/2014 12:00:00 AM,14660
2246,2274,2234.5,2266.2,22/04/2014 12:00:00 AM,10041
2264,2293,2223,2249.95,23/04/2014 12:00:00 AM,28578
2256,2265.4,2198,2203.8,25/04/2014 12:00:00 AM,17459
