Open,High,Low,Close,Date,Volume
175.62,175.98,173.8,174.45,10/02/2014 12:00:00 AM,129799
175.43,176.87,174.93,176.18,11/02/2014 12:00:00 AM,107258
177.62,181.98,177.43,181.66,12/02/2014 12:00:00 AM,294291
181.98,183.42,177.62,178.38,13/02/2014 12:00:00 AM,174835
179.25,180.16,176.35,179.69,14/02/2014 12:00:00 AM,168740
179.98,184.35,179.77,183.52,17/02/2014 12:00:00 AM,152650
183.8,190.16,182.6,188.66,18/02/2014 12:00:00 AM,275887
187.89,189.44,186.78,187.37,19/02/2014 12:00:00 AM,144929
184.71,185.68,183,183.34,20/02/2014 12:00:00 AM,108136
184.3,187.74,184.13,186.3,21/02/2014 12:00:00 AM,228687
185.62,189.44,185.15,188.38,24/02/2014 12:00:00 AM,194443
189.12,190.67,186.36,187.38,25/02/2014 12:00:00 AM,197482
187.98,189.05,186.9,188.42,26/02/2014 12:00:00 AM,83803
189.16,190.53,187.43,189.74,28/02/2014 12:00:00 AM,129344
188.96,191,185.85,187.19,03/03/2014 12:00:00 AM,147081
187.84,194.89,187.84,194.22,04/03/2014 12:00:00 AM,223378
195.07,199.98,193.78,199.46,05/03/2014 12:00:00 AM,233573
200.56,207.14,200.56,206.1,06/03/2014 12:00:00 AM,303223
206.52,223.7,206.52,218.4,07/03/2014 12:00:00 AM,747049
214.89,220.74,214.89,217.03,10/03/2014 12:00:00 AM,407332
217.25,223.96,216.55,217.88,11/03/2014 12:00:00 AM,551170
216.75,222.34,215.07,220.11,12/03/2014 12:00:00 AM,354458
220.11,225.66,219.98,221.48,13/03/2014 12:00:00 AM,370248
218.71,221.56,216.06,220.66,14/03/2014 12:00:00 AM,357690
220.38,223.8,218.12,219.03,18/03/2014 12:00:00 AM,196464
219.98,222.34,218.71,220.02,19/03/2014 12:00:00 AM,261627
219.25,221.61,217.61,218.32,20/03/2014 12:00:00 AM,257982
219.93,220.52,217.02,217.98,21/03/2014 12:00:00 AM,524373
216.89,219.05,216.89,217.79,22/03/2014 12:00:00 AM,9957
218.98,226.89,218.98,225.87,24/03/2014 12:00:00 AM,512371
225.32,228.83,224.34,227.71,25/03/2014 12:00:00 AM,265871
230.03,230.6,227.52,228.5,26/03/2014 12:00:00 AM,273629
227.84,231.41,226.61,228.98,27/03/2014 12:00:00 AM,432909
230.16,230.89,227.25,228.84,28/03/2014 12:00:00 AM,234337
230.91,231.26,225.61,226.42,31/03/2014 12:00:00 AM,131794
226.34,228.8,221.63,222.49,01/04/2014 12:00:00 AM,277105
223.8,227.43,223.8,225.9,02/04/2014 12:00:00 AM,313121
225.82,225.99,222.81,224.56,03/04/2014 12:00:00 AM,450761
223.98,226.3,221.02,223.68,04/04/2014 12:00:00 AM,340419
222.71,230.7,216.71,219.81,07/04/2014 12:00:00 AM,95410
219.98,229.5,219.98,228.99,09/04/2014 12:00:00 AM,192767
