Open,High,Low,Close,Date,Volume
389,392.85,383.1,384.6,10/02/2014 12:00:00 AM,100665
385.1,389.8,384.45,386.1,11/02/2014 12:00:00 AM,50754
390,390.4,384.6,385.5,12/02/2014 12:00:00 AM,62555
386,386.5,372.45,373.95,13/02/2014 12:00:00 AM,660217
375.1,381,372,376.85,14/02/2014 12:00:00 AM,84061
377,382.85,375.3,381.35,17/02/2014 12:00:00 AM,87710
381.8,391.5,380,389.1,18/02/2014 12:00:00 AM,168462
390,393.8,388.3,392.1,19/02/2014 12:00:00 AM,137663
391.3,391.9,383.55,384.55,20/02/2014 12:00:00 AM,80865
387,393.4,385.5,391.55,21/02/2014 12:00:00 AM,88138
392.9,401.9,387.2,399,24/02/2014 12:00:00 AM,107325
403,406.45,397,401.7,25/02/2014 12:00:00 AM,111626
403.85,403.85,394.3,395.95,26/02/2014 12:00:00 AM,98953
395.95,404.15,392.3,397.45,28/02/2014 12:00:00 AM,86342
397,403.8,390.2,392.25,03/03/2014 12:00:00 AM,89446
392.9,413,392.9,410.25,04/03/2014 12:00:00 AM,179588
414,420.95,409.15,415.65,05/03/2014 12:00:00 AM,205717
416.2,424.45,416.2,420.95,06/03/2014 12:00:00 AM,147480
424,452,422.45,443.95,07/03/2014 12:00:00 AM,327384
443,471,443,469.15,10/03/2014 12:00:00 AM,323592
468.1,476.9,459.65,472.55,11/03/2014 12:00:00 AM,219993
471.15,474.5,459.6,467.9,12/03/2014 12:00:00 AM,152393
471,479.95,465,468.1,13/03/2014 12:00:00 AM,187965
461,469.95,456.5,467.85,14/03/2014 12:00:00 AM,177132
469.9,484.45,467.85,482.55,18/03/2014 12:00:00 AM,3363996
483.85,484.5,476.4,478.95,19/03/2014 12:00:00 AM,148831
483,483,467.7,468.6,20/03/2014 12:00:00 AM,157887
470,478,470,471.7,21/03/2014 12:00:00 AM,101820
471.4,472.05,469.1,471.25,22/03/2014 12:00:00 AM,13412
472.8,493.7,472.8,490.85,24/03/2014 12:00:00 AM,238638
492.05,493,483,486,25/03/2014 12:00:00 AM,126201
492.35,498,486.15,490.3,26/03/2014 12:00:00 AM,269102
490,494.25,488,490.65,27/03/2014 12:00:00 AM,111666
492.1,508.35,492.1,500.65,28/03/2014 12:00:00 AM,275270
505.7,508.45,496.25,501.2,31/03/2014 12:00:00 AM,94051
502.9,504,491.6,498.1,01/04/2014 12:00:00 AM,89109
502,508.9,494.25,507.4,02/04/2014 12:00:00 AM,95431
508,508.9,493.15,495.65,03/04/2014 12:00:00 AM,84165
497.7,504,494.8,502.1,04/04/2014 12:00:00 AM,118186
508,508,496.1,498.4,07/04/2014 12:00:00 AM,29200
500,517.95,498.95,516.5,09/04/2014 12:00:00 AM,135446
519.85,520.5,508.2,511.9,10/04/2014 12:00:00 AM,98397
505,505,488,490.1,11/04/2014 12:00:00 AM,184662
496.5,496.5,480.1,484.15,15/04/2014 12:00:00 AM,123828
484,494.8,483.8,487.2,16/04/2014 12:00:00 AM,413949
492.4,503.7,487.1,498.65,17/04/2014 12:00:00 AM,245459
500,508,495.5,505.75,21/04/2014 12:00:00 AM,133517
505.9,506.75,495,498.55,22/04/2014 12:00:00 AM,113941
499,502.85,491.75,496.75,23/04/2014 12:00:00 AM,168834
496.75,506.75,493.1,495.7,25/04/2014 12:00:00 AM,103501
496,498.05,489.4,493.8,28/04/2014 12:00:00 AM,76518
496,498.15,484.35,485.55,29/04/2014 12:00:00 AM,100725
484.4,492.55,474,479,30/04/2014 12:00:00 AM,318475
481,486.85,473.25,476.8,02/05/2014 12:00:00 AM,84843
479,484.5,472,479.45,05/05/2014 12:00:00 AM,87781
481,493,478.9,490.55,06/05/2014 12:00:00 AM,102764
490,496.55,486,491.55,07/05/2014 12:00:00 AM,86311
494,496.45,489,491,08/05/2014 12:00:00 AM,55578
492.7,518.25,489.5,513.65,09/05/2014 12:00:00 AM,245188
513.65,535.4,512.6,521.65,12/05/2014 12:00:00 AM,197047
526,544.4,523.8,534.1,13/05/2014 12:00:00 AM,215075
534.1,540.15,527.85,536.95,14/05/2014 12:00:00 AM,98821
530.5,545.85,530.5,534.05,15/05/2014 12:00:00 AM,94788
