Open,High,Low,Close,Date,Volume
446.29,448.02,444.44,446.06,10/02/2014 12:00:00 AM,60000
446.13,452.75,446.13,449.48,11/02/2014 12:00:00 AM,61869
450.75,453.11,449,449.95,12/02/2014 12:00:00 AM,109249
450,452.35,447.63,448.31,13/02/2014 12:00:00 AM,24971
449.5,456.88,449.5,455.7,14/02/2014 12:00:00 AM,31535
458.78,459.63,456.25,457.78,17/02/2014 12:00:00 AM,21803
456.5,461.31,456.39,460,18/02/2014 12:00:00 AM,186819
461.13,470.38,461.13,469.24,19/02/2014 12:00:00 AM,63038
468.75,468.75,463.19,464.21,20/02/2014 12:00:00 AM,20064
466,469.38,466,468.96,21/02/2014 12:00:00 AM,15691
468.13,469.38,466.25,468.84,24/02/2014 12:00:00 AM,20031
468.94,473.75,468.94,472.84,25/02/2014 12:00:00 AM,104926
472.44,476.13,471.5,475.48,26/02/2014 12:00:00 AM,28759
472.38,479.01,472.38,477.53,28/02/2014 12:00:00 AM,25856
477.88,480.9,472.51,474.13,03/03/2014 12:00:00 AM,25946
470.5,477.63,470.46,474.99,04/03/2014 12:00:00 AM,46183
477.63,480,476.18,476.91,05/03/2014 12:00:00 AM,27502
479,480.79,477.09,479.46,06/03/2014 12:00:00 AM,17741
478.13,478.86,463.13,467.62,07/03/2014 12:00:00 AM,106127
465.77,465.83,455.64,459.09,10/03/2014 12:00:00 AM,45789
458.38,463.37,453.75,459.09,11/03/2014 12:00:00 AM,35581
460,462.3,456.49,458.86,12/03/2014 12:00:00 AM,20885
428.78,431.13,417.5,419.69,13/03/2014 12:00:00 AM,466221
419.69,425.13,417.67,423.68,14/03/2014 12:00:00 AM,72186
424.74,426.6,417.75,418.66,18/03/2014 12:00:00 AM,52009
420,420.81,405.02,408.94,19/03/2014 12:00:00 AM,148520
409.38,418.63,409,412.88,20/03/2014 12:00:00 AM,84364
416.25,417.13,408.82,413.16,21/03/2014 12:00:00 AM,85384
413,413.97,410.88,411.74,22/03/2014 12:00:00 AM,4968
410,414.62,408.75,409.26,24/03/2014 12:00:00 AM,46841
407.13,409.94,405.63,406.45,25/03/2014 12:00:00 AM,35999
408.12,408.94,404,405.58,26/03/2014 12:00:00 AM,44371
405.75,407.75,402.13,403.56,27/03/2014 12:00:00 AM,35216
404.03,408.75,403.88,407.22,28/03/2014 12:00:00 AM,46217
409.38,413.03,403.78,409.86,31/03/2014 12:00:00 AM,105272
410.63,415.36,409.89,413.83,01/04/2014 12:00:00 AM,42830
418,418.57,412.5,415.03,02/04/2014 12:00:00 AM,36256
416.5,418.13,415,417.33,03/04/2014 12:00:00 AM,26919
417.88,419.34,412.88,414.44,04/04/2014 12:00:00 AM,29359
413.75,415,399.5,411.41,07/04/2014 12:00:00 AM,23585
412.5,412.5,403.88,406.64,09/04/2014 12:00:00 AM,98726
408,408,398.33,400.83,10/04/2014 12:00:00 AM,53054
398.78,407,395.63,404.48,11/04/2014 12:00:00 AM,105996
418.38,421.48,405.67,407.56,15/04/2014 12:00:00 AM,503407
407.13,407.13,393.75,394.55,16/04/2014 12:00:00 AM,117954
396.88,400.99,394.75,398.74,17/04/2014 12:00:00 AM,56543
400.25,402.13,396.25,397.66,21/04/2014 12:00:00 AM,34521
397.43,400,392.88,393.74,22/04/2014 12:00:00 AM,44289
395.66,398.75,395.63,396.59,23/04/2014 12:00:00 AM,36862
397.5,399.3,395.59,396.78,25/04/2014 12:00:00 AM,28112
396.59,399.13,396.59,397.27,28/04/2014 12:00:00 AM,25663
396.56,399.38,396.56,397.33,29/04/2014 12:00:00 AM,26530
397.84,398.88,396.15,397.15,30/04/2014 12:00:00 AM,253484
397.81,405.53,397.81,402.48,02/05/2014 12:00:00 AM,28805
398.75,403.93,396.39,397.02,05/05/2014 12:00:00 AM,25849
396.94,397.76,394.25,395.52,06/05/2014 12:00:00 AM,22447
393.88,395.63,381.46,383.06,07/05/2014 12:00:00 AM,103505
383.75,386,380.81,382.87,08/05/2014 12:00:00 AM,50410
382.87,390,381.92,388.18,09/05/2014 12:00:00 AM,41593
390,398.76,388.11,397.24,12/05/2014 12:00:00 AM,101784
397.51,410.63,397.51,408.19,13/05/2014 12:00:00 AM,74369
404.38,407.66,402.25,405.86,14/05/2014 12:00:00 AM,33752
405.66,410.63,401.49,408.8,15/05/2014 12:00:00 AM,43958
409.38,417.18,382.64,397.23,16/05/2014 12:00:00 AM,122442
400.13,400.13,375.63,377.84,19/05/2014 12:00:00 AM,226240
381.64,391.63,379.92,389.88,20/05/2014 12:00:00 AM,59436
389.63,394.74,387.16,393.83,21/05/2014 12:00:00 AM,33985
