Open,High,Low,Close,Date
214.84,217.01,214.17,216.78,10/02/2014 12:00:00 AM
216.54,217.44,215.44,216.81,11/02/2014 12:00:00 AM
216.81,218.01,213.01,213.64,12/02/2014 12:00:00 AM
214.11,215.31,210.31,211.27,13/02/2014 12:00:00 AM
212.07,213.71,210.11,213.31,14/02/2014 12:00:00 AM
214.77,214.77,211.97,213.41,17/02/2014 12:00:00 AM
212.77,214.47,211.27,211.71,18/02/2014 12:00:00 AM
210.97,212.61,210.94,211.17,19/02/2014 12:00:00 AM
210.77,211.24,207.5,207.97,20/02/2014 12:00:00 AM
208.77,212.01,208.77,211.77,21/02/2014 12:00:00 AM
211.31,213.71,210.84,213.34,24/02/2014 12:00:00 AM
213.47,215.11,213.07,214.71,25/02/2014 12:00:00 AM
215.41,219.98,215.04,219.14,26/02/2014 12:00:00 AM
216.78,221.14,216.78,218.44,28/02/2014 12:00:00 AM
218.11,220.61,212.11,219.21,03/03/2014 12:00:00 AM
220.24,222.78,218.94,221.14,04/03/2014 12:00:00 AM
221.44,222.64,219.78,222.04,05/03/2014 12:00:00 AM
222.11,223.58,220.38,223.24,06/03/2014 12:00:00 AM
222.11,225.95,220.91,225.15,07/03/2014 12:00:00 AM
224.61,225.28,223.08,223.81,10/03/2014 12:00:00 AM
223.31,224.45,219.44,222.61,11/03/2014 12:00:00 AM
222.58,228.71,222.58,227.25,12/03/2014 12:00:00 AM
227.45,231.02,227.45,229.01,13/03/2014 12:00:00 AM
228.48,232.12,226.85,231.45,14/03/2014 12:00:00 AM
232.28,237.79,232.12,237.39,18/03/2014 12:00:00 AM
238.12,240.12,237.19,239.82,19/03/2014 12:00:00 AM
238.89,239.12,235.15,237.39,20/03/2014 12:00:00 AM
237.39,239.25,235.25,238.55,21/03/2014 12:00:00 AM
237.89,238.59,237.39,237.92,22/03/2014 12:00:00 AM
237.45,242.15,236.89,240.55,24/03/2014 12:00:00 AM
240.12,243.46,239.42,242.02,25/03/2014 12:00:00 AM
241.75,242.59,236.12,239.45,26/03/2014 12:00:00 AM
239.45,241.62,236.79,240.09,27/03/2014 12:00:00 AM
241.35,241.35,235.45,239.45,28/03/2014 12:00:00 AM
239.99,240.82,233.28,235.42,31/03/2014 12:00:00 AM
235.12,235.75,230.78,235.05,01/04/2014 12:00:00 AM
234.12,235.05,227.01,229.61,02/04/2014 12:00:00 AM
230.12,231.78,227.61,231.02,03/04/2014 12:00:00 AM
230.78,233.08,228.51,230.18,04/04/2014 12:00:00 AM
227.45,232.78,227.45,230.48,07/04/2014 12:00:00 AM
230.12,232.58,228.78,231.78,09/04/2014 12:00:00 AM
232.78,232.78,228.48,229.21,10/04/2014 12:00:00 AM
229.45,230.05,226.85,229.35,11/04/2014 12:00:00 AM
228.78,229.21,224.61,227.45,15/04/2014 12:00:00 AM
226.78,231.82,226.78,230.72,16/04/2014 12:00:00 AM
231.78,235.92,229.45,235.58,17/04/2014 12:00:00 AM
