Open,High,Low,Close,Date,Volume
329.5,329.5,322.75,323.98,10/02/2014 12:00:00 AM,28650
329,329,320.78,323.5,11/02/2014 12:00:00 AM,33992
324.5,327.83,322.3,323.88,12/02/2014 12:00:00 AM,17472
323.63,323.63,315.55,318.15,13/02/2014 12:00:00 AM,16130
319,326.5,315.4,322.85,14/02/2014 12:00:00 AM,30832
324,326.5,320.18,325.63,17/02/2014 12:00:00 AM,24273
325.25,341.65,325,340.03,18/02/2014 12:00:00 AM,41176
340,344,335.53,342.95,19/02/2014 12:00:00 AM,43268
342.5,342.5,334.03,335.4,20/02/2014 12:00:00 AM,23078
336,338.63,332.55,335.53,21/02/2014 12:00:00 AM,25776
335,340.5,331.28,338.55,24/02/2014 12:00:00 AM,25465
338.5,341.45,336.13,338.15,25/02/2014 12:00:00 AM,16950
339.15,345.45,339.05,342.48,26/02/2014 12:00:00 AM,24495
342.5,346,338.6,341.6,28/02/2014 12:00:00 AM,34921
342,346,335,335.7,03/03/2014 12:00:00 AM,19741
335,339.7,333,338.45,04/03/2014 12:00:00 AM,20731
339.5,341.88,335.38,340.25,05/03/2014 12:00:00 AM,25651
341.5,345.75,339.5,344.2,06/03/2014 12:00:00 AM,41514
347.5,358.5,345.58,355.95,07/03/2014 12:00:00 AM,111115
358.5,376,350.58,375.03,10/03/2014 12:00:00 AM,102305
375.95,378.98,367.5,372.2,11/03/2014 12:00:00 AM,61251
372.4,375.95,367.58,371.43,12/03/2014 12:00:00 AM,32386
372.5,387.5,372,382.15,13/03/2014 12:00:00 AM,82719
378.5,380.5,366.88,378.18,14/03/2014 12:00:00 AM,39629
378,392,378,382.5,18/03/2014 12:00:00 AM,32683
383.45,383.5,378.98,381.43,19/03/2014 12:00:00 AM,16669
378.25,380.8,371.55,374.08,20/03/2014 12:00:00 AM,18629
376.68,377.75,369.5,371.78,21/03/2014 12:00:00 AM,25772
372.55,372.55,367.5,369.9,22/03/2014 12:00:00 AM,3453
373.2,384.65,372.58,382.78,24/03/2014 12:00:00 AM,49421
382.78,388.5,382.78,385.95,25/03/2014 12:00:00 AM,36604
388.5,389.7,381.75,385.95,26/03/2014 12:00:00 AM,29462
386.3,389,380.55,386.03,27/03/2014 12:00:00 AM,48304
384.4,393.85,383,389.48,28/03/2014 12:00:00 AM,53805
390.1,392.23,384,389,31/03/2014 12:00:00 AM,34435
389.5,390.5,376.08,382.88,01/04/2014 12:00:00 AM,63736
384.7,386.05,379.73,385.05,02/04/2014 12:00:00 AM,36098
385,385,378.15,380.38,03/04/2014 12:00:00 AM,17851
378.5,380.4,375.45,377.65,04/04/2014 12:00:00 AM,20260
380.38,384.98,355.68,383.65,07/04/2014 12:00:00 AM,15550
386.88,392.6,382.5,392.05,09/04/2014 12:00:00 AM,39243
392,405.5,390.5,401.38,10/04/2014 12:00:00 AM,86790
395.25,405,395.25,403.08,11/04/2014 12:00:00 AM,49069
402.75,402.75,389.93,395.53,15/04/2014 12:00:00 AM,45106
390.53,396.25,387.38,392.33,16/04/2014 12:00:00 AM,430829
392.75,402.4,390.75,400.48,17/04/2014 12:00:00 AM,850125
402,404,397.75,401.13,21/04/2014 12:00:00 AM,23186
400,403.03,398.08,400.83,22/04/2014 12:00:00 AM,36213
400.03,412.5,400.03,410.3,23/04/2014 12:00:00 AM,60501
408.03,416.98,402.68,404.08,25/04/2014 12:00:00 AM,99367
401.5,414.9,398.5,411.48,28/04/2014 12:00:00 AM,73536
410,412.23,402.6,403.85,29/04/2014 12:00:00 AM,83557
405,409,398,401.63,30/04/2014 12:00:00 AM,76723
401.45,404.88,399.7,401.9,02/05/2014 12:00:00 AM,18659
392.5,405.58,392.5,403.85,05/05/2014 12:00:00 AM,25033
403,405,400.7,403.25,06/05/2014 12:00:00 AM,9166
403,407.73,400.8,404.93,07/05/2014 12:00:00 AM,24746
406,410.2,404.13,406.63,08/05/2014 12:00:00 AM,21727
405.95,427.95,405.48,425.93,09/05/2014 12:00:00 AM,106156
425,432.33,423.43,425.25,12/05/2014 12:00:00 AM,50187
425,434,424.25,430.3,13/05/2014 12:00:00 AM,88080
428.5,442,426.5,429.68,14/05/2014 12:00:00 AM,99288
432.5,437,430.18,434.63,15/05/2014 12:00:00 AM,66438
440,475,440,452.68,16/05/2014 12:00:00 AM,286930
454,465.48,453.48,458.1,19/05/2014 12:00:00 AM,57574
462,462,447.83,451.75,20/05/2014 12:00:00 AM,25581
449,452.5,442.5,448.4,21/05/2014 12:00:00 AM,31286
449.83,454.48,444.5,446.4,22/05/2014 12:00:00 AM,29695
449.5,449.5,437.13,439.88,23/05/2014 12:00:00 AM,58351
439,444.55,425.33,431.73,26/05/2014 12:00:00 AM,60953
431,436.98,425.3,435.13,27/05/2014 12:00:00 AM,37313
436.5,436.75,426.75,429.53,28/05/2014 12:00:00 AM,22245
430.5,435.2,427.48,429.98,29/05/2014 12:00:00 AM,37811
430.5,440,421.95,433.78,30/05/2014 12:00:00 AM,25115216
437.48,445.45,427.58,442.8,02/06/2014 12:00:00 AM,55816
441.68,442.65,433.33,436.35,03/06/2014 12:00:00 AM,39697
435,436.7,428.05,430.95,04/06/2014 12:00:00 AM,45477
431.33,436,426.98,433.05,05/06/2014 12:00:00 AM,34157
436.93,453.98,433,451.5,06/06/2014 12:00:00 AM,162884
454.5,458.38,448.13,449.73,09/06/2014 12:00:00 AM,66983
451.5,451.73,440.95,448.65,10/06/2014 12:00:00 AM,29959
451,466.55,451,464.05,11/06/2014 12:00:00 AM,118887
464.75,469.23,459.3,467.1,12/06/2014 12:00:00 AM,63525
466.5,475,457,458.38,13/06/2014 12:00:00 AM,61059
459.5,466.45,453.05,465.28,16/06/2014 12:00:00 AM,27515
462.5,472.5,456.35,469.73,17/06/2014 12:00:00 AM,36149
472.5,485.9,470.8,480,18/06/2014 12:00:00 AM,123578
476.13,480.58,460.1,461.43,19/06/2014 12:00:00 AM,106481
464.53,471,460.05,465.33,20/06/2014 12:00:00 AM,49901
464.75,464.75,444.33,447.5,23/06/2014 12:00:00 AM,131413
449.78,450.2,437.18,439.88,24/06/2014 12:00:00 AM,111679
443.95,444.5,438,441.9,25/06/2014 12:00:00 AM,55529
442.95,444.7,429.78,432.65,26/06/2014 12:00:00 AM,52329
433.5,436.2,428.4,434,27/06/2014 12:00:00 AM,46689
439.85,443.2,432.53,442.58,30/06/2014 12:00:00 AM,57192
442.3,444.23,440.28,442.43,01/07/2014 12:00:00 AM,39461
442.5,448.5,442,446.65,02/07/2014 12:00:00 AM,49931
445.48,449.5,443.5,444.95,03/07/2014 12:00:00 AM,7211
446,446.85,440.1,442.23,04/07/2014 12:00:00 AM,29454
