Open,High,Low,Close,Date,Volume
657.2,666.93,653.06,663.23,10/02/2014 12:00:00 AM,151824
665,671.67,659,661.46,11/02/2014 12:00:00 AM,142432
665.67,676.8,663,672.84,12/02/2014 12:00:00 AM,152202
674.47,677.97,657.06,657.73,13/02/2014 12:00:00 AM,122671
661,664.03,651.06,662.36,14/02/2014 12:00:00 AM,115210
664.47,670.13,659.96,665.77,17/02/2014 12:00:00 AM,124875
666.33,681.67,661,679.24,18/02/2014 12:00:00 AM,171304
679.07,688.68,676.34,686.94,19/02/2014 12:00:00 AM,185642
681.21,691.51,678.34,688.41,20/02/2014 12:00:00 AM,140518
690.11,702.68,689.94,701.42,21/02/2014 12:00:00 AM,226522
701.02,724.3,701.02,721.43,24/02/2014 12:00:00 AM,276764
724.03,727.03,715.69,725.8,25/02/2014 12:00:00 AM,191898
721.26,733.67,720.36,731.4,26/02/2014 12:00:00 AM,188196
728.36,743,723.7,739.24,28/02/2014 12:00:00 AM,236240
734.43,735.7,725.03,731.57,03/03/2014 12:00:00 AM,131773
731.03,747.31,727.03,744.97,04/03/2014 12:00:00 AM,206276
745.17,753.71,742.4,749.24,05/03/2014 12:00:00 AM,214029
749.04,764.05,745.71,761.71,06/03/2014 12:00:00 AM,265734
763.25,814.94,763.05,798.77,07/03/2014 12:00:00 AM,821449
790.4,828.15,790.4,825.35,10/03/2014 12:00:00 AM,577447
824.01,837.02,812.27,820.21,11/03/2014 12:00:00 AM,462959
817.08,820.28,805.07,812.77,12/03/2014 12:00:00 AM,168624
811.27,825.48,810.41,817.34,13/03/2014 12:00:00 AM,154704
812.94,842.25,801.87,837.42,14/03/2014 12:00:00 AM,308276
834.12,845.09,822.54,827.61,18/03/2014 12:00:00 AM,199174
826.41,836.42,819.74,831.52,19/03/2014 12:00:00 AM,243595
825.48,828.88,811.14,813.91,20/03/2014 12:00:00 AM,137251
816.47,823.68,807.8,811.44,21/03/2014 12:00:00 AM,129260
810.61,816.07,808.64,813.44,22/03/2014 12:00:00 AM,13411
817.08,825.75,811.44,820.61,24/03/2014 12:00:00 AM,179436
817.94,833.75,815.51,832.68,25/03/2014 12:00:00 AM,181587
834.42,852.43,834.42,850.56,26/03/2014 12:00:00 AM,407839
847.09,863.77,846.59,855.99,27/03/2014 12:00:00 AM,257672
857.76,861.5,840.69,859.3,28/03/2014 12:00:00 AM,169694
860.43,867.77,843.86,848.86,31/03/2014 12:00:00 AM,262138
845.49,858.26,835.82,851.33,01/04/2014 12:00:00 AM,237509
860.36,873.77,850.43,867.07,02/04/2014 12:00:00 AM,265618
864.43,866.3,837.09,860.43,03/04/2014 12:00:00 AM,182789
860.16,860.16,845.49,851.83,04/04/2014 12:00:00 AM,130854
867.1,867.1,845.62,855.93,07/04/2014 12:00:00 AM,108570
858.43,872.4,852.03,866.67,09/04/2014 12:00:00 AM,169285
867.1,884.31,863.6,876.9,10/04/2014 12:00:00 AM,267028
872.3,873.07,860.5,864.97,11/04/2014 12:00:00 AM,164644
863.1,872.97,850.43,865.6,15/04/2014 12:00:00 AM,152264
863.56,865.1,837.09,840.75,16/04/2014 12:00:00 AM,130658
837.92,851.96,828.71,847.62,17/04/2014 12:00:00 AM,167379
847.96,883.78,847.96,881.87,21/04/2014 12:00:00 AM,303716
880.44,901.78,880.44,896.45,22/04/2014 12:00:00 AM,329529
901.78,925.7,899.78,918.66,23/04/2014 12:00:00 AM,450995
917.79,918.16,897.18,900.98,25/04/2014 12:00:00 AM,179751
894.45,909.12,885.04,886.61,28/04/2014 12:00:00 AM,187093
889.51,893.78,872.7,881.44,29/04/2014 12:00:00 AM,164940
887.38,890.28,855.09,864.13,30/04/2014 12:00:00 AM,227123
871.37,873.7,840.35,842.52,02/05/2014 12:00:00 AM,173597
842.62,863.16,834.82,856.16,05/05/2014 12:00:00 AM,320086
861.93,869.77,859.8,866.8,06/05/2014 12:00:00 AM,102367
863.97,876.2,860.76,864.37,07/05/2014 12:00:00 AM,124043
872.77,872.77,851.83,867.37,08/05/2014 12:00:00 AM,243286
866.93,899.52,859.43,895.88,09/05/2014 12:00:00 AM,315411
900.45,929.8,899.48,925.2,12/05/2014 12:00:00 AM,408231
933.8,960.51,931.47,939.67,13/05/2014 12:00:00 AM,439137
943.81,949.14,921.13,929.93,14/05/2014 12:00:00 AM,262962
932.47,933.8,914.26,918.73,15/05/2014 12:00:00 AM,238643
957.95,995.93,923.26,951.11,16/05/2014 12:00:00 AM,1054931
958.05,1022.88,958.05,1016.94,19/05/2014 12:00:00 AM,660113
1022.18,1027.18,999.27,1006.04,20/05/2014 12:00:00 AM,196070
1007.17,1008.5,981.16,984.76,21/05/2014 12:00:00 AM,187571
993.96,1004.5,984.63,988.23,22/05/2014 12:00:00 AM,168562
991.16,1014.51,990.76,1008.24,23/05/2014 12:00:00 AM,163845
1027.18,1082.34,1002.5,1029.98,26/05/2014 12:00:00 AM,672593
1033.85,1051.19,1015.71,1044.09,27/05/2014 12:00:00 AM,237088
1047.39,1069.2,1047.19,1051.96,28/05/2014 12:00:00 AM,201375
1051.86,1059.83,1022.51,1034.12,29/05/2014 12:00:00 AM,164148
1037.85,1056.56,1029.18,1033.12,30/05/2014 12:00:00 AM,180009
1075.37,1100.55,1069.2,1097.48,02/06/2014 12:00:00 AM,574193
1100.75,1116.52,1096.15,1102.88,03/06/2014 12:00:00 AM,273256
1107.22,1118.76,1099.08,1115.92,04/06/2014 12:00:00 AM,173594
1117.23,1129.6,1109.99,1120.16,05/06/2014 12:00:00 AM,197945
1128.1,1133.9,1116.29,1126.36,06/06/2014 12:00:00 AM,170208
