Open,High,Low,Close,Date,Volume
448,451,443.35,447.63,10/02/2014 12:00:00 AM,29248
447.63,451,444,447.73,11/02/2014 12:00:00 AM,22453
450,450.68,445.5,448.13,12/02/2014 12:00:00 AM,18200
448.5,455.38,447.45,453.33,13/02/2014 12:00:00 AM,58609
453.55,457,443.58,451.3,14/02/2014 12:00:00 AM,123130
451.3,468,448.93,464.08,17/02/2014 12:00:00 AM,108568
468,470,462.5,467.53,18/02/2014 12:00:00 AM,96830
468.5,473.63,468,470.28,19/02/2014 12:00:00 AM,55587
469,470.75,463.25,464.8,20/02/2014 12:00:00 AM,52004
467.5,469.38,461.8,464.6,21/02/2014 12:00:00 AM,71453
465,472.7,464.65,471.45,24/02/2014 12:00:00 AM,54397
472.53,474.98,467.83,471.78,25/02/2014 12:00:00 AM,65344
468.03,482.78,468.03,481.2,26/02/2014 12:00:00 AM,56753
485,487.5,474.88,486.73,28/02/2014 12:00:00 AM,65399
486.95,488.5,474.53,475.93,03/03/2014 12:00:00 AM,46599
478.28,482.73,472.43,477.88,04/03/2014 12:00:00 AM,50797
477.88,479,470.35,474.1,05/03/2014 12:00:00 AM,50900
475.5,480.5,474.45,477.53,06/03/2014 12:00:00 AM,61031
479.08,495.5,476,490.28,07/03/2014 12:00:00 AM,122780
492.15,509.58,487.55,507.05,10/03/2014 12:00:00 AM,199057
501.85,510,492.93,497.05,11/03/2014 12:00:00 AM,72779
496.2,498.55,491.83,495.53,12/03/2014 12:00:00 AM,310808
495,512,495,507.4,13/03/2014 12:00:00 AM,132496
504.78,517.5,498.48,512.88,14/03/2014 12:00:00 AM,81597
512.5,527,503,505.13,18/03/2014 12:00:00 AM,69005
505,510.33,490.1,491.05,19/03/2014 12:00:00 AM,86367
490.05,495.9,486.43,488.93,20/03/2014 12:00:00 AM,82023
492.5,495,483.08,485,21/03/2014 12:00:00 AM,55475
491.25,492.43,486.38,487.08,22/03/2014 12:00:00 AM,12110
490.5,497.5,487.9,493.25,24/03/2014 12:00:00 AM,46421
490.75,497.28,486.1,487.5,25/03/2014 12:00:00 AM,47648
494.13,494.13,476.15,479.55,26/03/2014 12:00:00 AM,100615
481.35,487.48,479.3,482.1,27/03/2014 12:00:00 AM,59399
482.55,487,477.6,483.63,28/03/2014 12:00:00 AM,87537
487.5,492.25,483.65,490.33,31/03/2014 12:00:00 AM,46059
495,501.6,490.15,499.03,01/04/2014 12:00:00 AM,140155
501,504,496.28,500.88,02/04/2014 12:00:00 AM,62301
501,504.73,494.58,503.13,03/04/2014 12:00:00 AM,55503
502.5,503,495.9,498.68,04/04/2014 12:00:00 AM,39450
503,507.5,498.75,504.95,07/04/2014 12:00:00 AM,64758
505,511.25,505,510.03,09/04/2014 12:00:00 AM,106584
510,513,498,510.35,10/04/2014 12:00:00 AM,148989
510,510,499.03,501.43,11/04/2014 12:00:00 AM,36298
502.5,502.5,487.63,491.68,15/04/2014 12:00:00 AM,55092
494.45,496.4,482.35,487.68,16/04/2014 12:00:00 AM,98422
489,499.9,489,498.68,17/04/2014 12:00:00 AM,41218
499.5,519.7,496.25,516.33,21/04/2014 12:00:00 AM,122796
518,522.5,510,512.15,22/04/2014 12:00:00 AM,37920
515.18,520.5,512.35,518.38,23/04/2014 12:00:00 AM,47360
519,539,515.6,535.13,25/04/2014 12:00:00 AM,124562
525,536.78,525,532.7,28/04/2014 12:00:00 AM,38705
531.5,540,530.75,532.5,29/04/2014 12:00:00 AM,41205
533.5,545.5,532.55,536.08,30/04/2014 12:00:00 AM,63660
534,534,523.05,528.28,02/05/2014 12:00:00 AM,138572
527.9,535.33,525.1,529.68,05/05/2014 12:00:00 AM,28762
530,533.75,528.78,532.58,06/05/2014 12:00:00 AM,14372
532.5,536,528.73,530.78,07/05/2014 12:00:00 AM,14884
530.53,536.5,528.45,531.65,08/05/2014 12:00:00 AM,14881
532.5,555,530.5,552.15,09/05/2014 12:00:00 AM,94294
551.25,569.5,550.9,565.03,12/05/2014 12:00:00 AM,110065
567.05,587.5,553.5,561.2,13/05/2014 12:00:00 AM,88552
556.4,556.4,538.85,544.85,14/05/2014 12:00:00 AM,602078
544.5,556.35,540,551.83,15/05/2014 12:00:00 AM,62345
562.5,590.28,550.5,555.3,16/05/2014 12:00:00 AM,190300
561.18,566.53,538.98,549.35,19/05/2014 12:00:00 AM,102896
550,574.25,539.18,567.68,20/05/2014 12:00:00 AM,99347
566,579.9,561.5,574.8,21/05/2014 12:00:00 AM,51245
575,585.95,562.63,567.05,22/05/2014 12:00:00 AM,55119
563,582.5,563,579.05,23/05/2014 12:00:00 AM,33614
583.5,626.35,583.5,615.15,26/05/2014 12:00:00 AM,178152
620,621.5,587.5,597.33,27/05/2014 12:00:00 AM,66793
600.5,602.5,578.58,581.18,28/05/2014 12:00:00 AM,64162
585,591.9,582.8,589.18,29/05/2014 12:00:00 AM,33012
591,632.33,581.28,615.25,30/05/2014 12:00:00 AM,225707
615,634.38,599.35,620.23,02/06/2014 12:00:00 AM,110079
622.5,622.5,609.5,615.43,03/06/2014 12:00:00 AM,69609
616,622.38,601.8,608.55,04/06/2014 12:00:00 AM,70835
608.4,609.08,596.7,599.68,05/06/2014 12:00:00 AM,82331
602.55,618,598.1,614.83,06/06/2014 12:00:00 AM,100791
620,620,603.15,611.95,09/06/2014 12:00:00 AM,62443
612,619.5,602.78,615.05,10/06/2014 12:00:00 AM,81594
615.5,619,606.38,612.25,11/06/2014 12:00:00 AM,49214
610,616.25,603,613.75,12/06/2014 12:00:00 AM,31292
618,627.7,606.03,614.75,13/06/2014 12:00:00 AM,80051
609,613.13,596.5,600.35,16/06/2014 12:00:00 AM,50198
599.5,599.5,582.7,590.4,17/06/2014 12:00:00 AM,283974
596,596,575.5,579.7,18/06/2014 12:00:00 AM,75191
580.05,592.5,580,587.85,19/06/2014 12:00:00 AM,43904
588,589.15,567.58,570.95,20/06/2014 12:00:00 AM,58825
573,582.45,571.45,579.25,23/06/2014 12:00:00 AM,70565
581.5,590.73,580,583.6,24/06/2014 12:00:00 AM,77833
584,596.9,579.15,585.2,25/06/2014 12:00:00 AM,61310
595.18,597,583.5,586.83,26/06/2014 12:00:00 AM,81093
588,588,574.05,576.93,27/06/2014 12:00:00 AM,85385
579.5,582.33,571.98,573.95,30/06/2014 12:00:00 AM,70580
576,599,576,597.08,01/07/2014 12:00:00 AM,116015
599.5,614.28,592.78,609.38,02/07/2014 12:00:00 AM,105865
610.53,622,610.53,617.98,03/07/2014 12:00:00 AM,26348
620,620,605.75,614.55,04/07/2014 12:00:00 AM,39733
616,622.5,612.5,619.55,07/07/2014 12:00:00 AM,32630
622.5,625.5,595.6,606.38,08/07/2014 12:00:00 AM,35647
606.25,606.5,578,590.95,09/07/2014 12:00:00 AM,58203
595,600.6,577.5,582.45,10/07/2014 12:00:00 AM,62142
579.75,587.5,565.13,581.68,11/07/2014 12:00:00 AM,82796
583,589,578.38,583.4,14/07/2014 12:00:00 AM,23041
583.5,600.8,583.5,598.55,15/07/2014 12:00:00 AM,22198
601.23,611.45,600,610.05,16/07/2014 12:00:00 AM,41402
592.75,595.85,580.5,590.68,17/07/2014 12:00:00 AM,13505819
591.3,596.88,586.25,590.05,18/07/2014 12:00:00 AM,65595
