Open,High,Low,Close,Date
1673.7,1700.85,1666,1688.95,10/02/2014 12:00:00 AM
1690,1694,1663,1675.1,11/02/2014 12:00:00 AM
1680,1686.35,1643,1647.05,12/02/2014 12:00:00 AM
1652,1659,1632,1636.05,13/02/2014 12:00:00 AM
1639,1653.4,1615.9,1643.35,14/02/2014 12:00:00 AM
1649,1672.8,1638.5,1666.1,17/02/2014 12:00:00 AM
1673,1733.9,1666,1708.95,18/02/2014 12:00:00 AM
1708.95,1721.7,1692.05,1698.6,19/02/2014 12:00:00 AM
1702,1705.25,1675.7,1683.35,20/02/2014 12:00:00 AM
1689.5,1702,1672.25,1674.65,21/02/2014 12:00:00 AM
1671.1,1693.9,1646.65,1683.4,24/02/2014 12:00:00 AM
1683,1693,1671,1675.95,25/02/2014 12:00:00 AM
1672,1682,1650.95,1661.7,26/02/2014 12:00:00 AM
1665,1665,1573,1586.3,28/02/2014 12:00:00 AM
1587,1616.55,1577.4,1581.75,03/03/2014 12:00:00 AM
1575.5,1604.45,1551,1598.3,04/03/2014 12:00:00 AM
1610,1634.85,1590,1622.4,05/03/2014 12:00:00 AM
1627,1657,1618.75,1649.9,06/03/2014 12:00:00 AM
1656,1747.55,1642.45,1735.9,07/03/2014 12:00:00 AM
1730.55,1817.2,1717,1800.9,10/03/2014 12:00:00 AM
1800.9,1812,1745.05,1755.9,11/03/2014 12:00:00 AM
1732,1790,1680,1764.6,12/03/2014 12:00:00 AM
1759,1789.9,1734,1746.7,13/03/2014 12:00:00 AM
1723,1755,1712,1737.1,14/03/2014 12:00:00 AM
1875.3,1899.9,1850.85,1868.85,18/03/2014 12:00:00 AM
1866,1887.1,1850.3,1870.5,19/03/2014 12:00:00 AM
1871,1875,1847.95,1857.65,20/03/2014 12:00:00 AM
1857,1878,1857,1867.75,21/03/2014 12:00:00 AM
1872,1879.5,1867,1872.1,22/03/2014 12:00:00 AM
1879,1902.75,1871.1,1885.6,24/03/2014 12:00:00 AM
1883.8,1914,1875.3,1903.1,25/03/2014 12:00:00 AM
1910,1948.95,1910,1937.55,26/03/2014 12:00:00 AM
1934,1967.6,1921.55,1935.2,27/03/2014 12:00:00 AM
1923,1956,1915,1932,28/03/2014 12:00:00 AM
1933,1976,1924.1,1971.4,31/03/2014 12:00:00 AM
1970.55,1979.55,1923,1931.15,01/04/2014 12:00:00 AM
1945,1949,1923.85,1933.45,02/04/2014 12:00:00 AM
1925,1962.95,1925,1938.35,03/04/2014 12:00:00 AM
1949.4,1957,1918.1,1927.15,04/04/2014 12:00:00 AM
1896.3,1935,1873,1903.95,07/04/2014 12:00:00 AM
1899,1940,1877,1933.25,09/04/2014 12:00:00 AM
1925,1969,1918,1959.2,10/04/2014 12:00:00 AM
1955,1955,1923.5,1933.75,11/04/2014 12:00:00 AM
1929.7,1948,1906.05,1922.3,15/04/2014 12:00:00 AM
1928,1963,1928,1934.9,16/04/2014 12:00:00 AM
1927.95,1954,1927.95,1946.3,17/04/2014 12:00:00 AM
1955,1999.3,1955,1988.35,21/04/2014 12:00:00 AM
1999,2007.6,1967,1974.25,22/04/2014 12:00:00 AM
1980,1994,1970,1982.75,23/04/2014 12:00:00 AM
1999.9,1999.9,1918.5,1956.05,25/04/2014 12:00:00 AM
1950,1965,1939.2,1952.4,28/04/2014 12:00:00 AM
1950,1959.6,1910,1916.35,29/04/2014 12:00:00 AM
1910,1939.9,1910,1918,30/04/2014 12:00:00 AM
1890,1907.6,1881.1,1885.5,02/05/2014 12:00:00 AM
1885,1916.8,1867,1899.65,05/05/2014 12:00:00 AM
1900,1915.85,1884.3,1909.6,06/05/2014 12:00:00 AM
1903,1907,1876.75,1881.75,07/05/2014 12:00:00 AM
1871,1900,1871,1894.4,08/05/2014 12:00:00 AM
1895,1981.55,1888,1972.6,09/05/2014 12:00:00 AM
1970,2064.7,1964.2,2051.4,12/05/2014 12:00:00 AM
2076,2118,2045.25,2095.2,13/05/2014 12:00:00 AM
2095.2,2116.9,2061,2086.55,14/05/2014 12:00:00 AM
2080,2124,2078.4,2117.15,15/05/2014 12:00:00 AM
2131,2315,2131,2154.45,16/05/2014 12:00:00 AM
2177,2245.65,2177,2214.25,19/05/2014 12:00:00 AM
2216,2235.7,2185,2193.5,20/05/2014 12:00:00 AM
2201.15,2210,2156.5,2168.25,21/05/2014 12:00:00 AM
2202,2288.2,2202,2264.45,22/05/2014 12:00:00 AM
2282,2400.7,2266,2384.85,23/05/2014 12:00:00 AM
2401,2505.3,2305.3,2340.35,26/05/2014 12:00:00 AM
2346,2367.95,2290,2305.85,27/05/2014 12:00:00 AM
2299,2360,2284.15,2311.45,28/05/2014 12:00:00 AM
2304.1,2335.95,2255.85,2306.1,29/05/2014 12:00:00 AM
2311,2337.95,2255,2269.5,30/05/2014 12:00:00 AM
2280.1,2339,2272.45,2326.85,02/06/2014 12:00:00 AM
2339,2357.8,2312,2342.85,03/06/2014 12:00:00 AM
2348,2392,2336.15,2373.2,04/06/2014 12:00:00 AM
2401,2426,2370,2379.9,05/06/2014 12:00:00 AM
