Open,High,Low,Close,Date,Volume
97.05,97.9,96.75,96.95,10/02/2014 12:00:00 AM,126817
96.8,97.55,95.65,95.85,11/02/2014 12:00:00 AM,379975
95.65,96.25,95.3,95.7,12/02/2014 12:00:00 AM,79394
95.95,95.95,94.7,95.05,13/02/2014 12:00:00 AM,113294
95.5,95.5,94.85,95.15,14/02/2014 12:00:00 AM,83277
95.1,95.95,95.1,95.5,17/02/2014 12:00:00 AM,68137
95.3,96,95.25,95.7,18/02/2014 12:00:00 AM,93855
95.25,95.7,94.6,94.85,19/02/2014 12:00:00 AM,74686
94.8,95.45,94.4,95.05,20/02/2014 12:00:00 AM,135311
95.05,95.75,95,95.15,21/02/2014 12:00:00 AM,125173
95,95.15,94.05,94.75,24/02/2014 12:00:00 AM,121976
94.45,95.6,94.45,95.35,25/02/2014 12:00:00 AM,130896
95.2,96.2,94.95,95.3,26/02/2014 12:00:00 AM,178281
95.05,95.35,93.25,94.6,28/02/2014 12:00:00 AM,5505184
94.5,95.15,93.9,94.5,03/03/2014 12:00:00 AM,170516
94.3,96.35,93.85,96,04/03/2014 12:00:00 AM,428746
96,96.45,95.35,96,05/03/2014 12:00:00 AM,152333
96.7,98.2,96,97.6,06/03/2014 12:00:00 AM,294345
96.9,99.25,96.9,98.7,07/03/2014 12:00:00 AM,456330
98.7,99.2,97.65,98.85,10/03/2014 12:00:00 AM,230884
98,99,98,98.8,11/03/2014 12:00:00 AM,220764
98.25,98.9,97.8,98.45,12/03/2014 12:00:00 AM,154148
98.45,99.7,98.1,98.75,13/03/2014 12:00:00 AM,201016
98.05,99.8,98,98.4,14/03/2014 12:00:00 AM,250286
98.5,101.6,98.5,101.3,18/03/2014 12:00:00 AM,651808
101.4,103.45,101.2,102.2,19/03/2014 12:00:00 AM,531998
101.1,101.95,99,99.35,20/03/2014 12:00:00 AM,234989
99.5,102.65,99.15,100.8,21/03/2014 12:00:00 AM,406999
101.7,101.7,100.75,101.15,22/03/2014 12:00:00 AM,13718
100.3,103.95,100.3,103.15,24/03/2014 12:00:00 AM,509747
101.6,105.8,101.6,105.25,25/03/2014 12:00:00 AM,656791
105.1,106.4,103.6,104.05,26/03/2014 12:00:00 AM,405711
104,106.2,104,105.5,27/03/2014 12:00:00 AM,383260
105,107.6,104.7,107.05,28/03/2014 12:00:00 AM,471042
107.35,108.2,104.6,105.05,31/03/2014 12:00:00 AM,219665
105.1,109.2,105.1,107.95,01/04/2014 12:00:00 AM,1430618
108.5,109,107.3,108.35,02/04/2014 12:00:00 AM,224595
107.7,109.55,106.95,108.8,03/04/2014 12:00:00 AM,456092
108,108.8,106.4,106.55,04/04/2014 12:00:00 AM,167840
107,107.95,105.8,106.75,07/04/2014 12:00:00 AM,90107
105,107.15,105,106.75,09/04/2014 12:00:00 AM,161165
107,108,106.25,107.75,10/04/2014 12:00:00 AM,835207
107.5,107.85,107.1,107.55,11/04/2014 12:00:00 AM,209770
107.6,108.3,106.8,107.9,15/04/2014 12:00:00 AM,300257
107.3,108.15,105.85,107.5,16/04/2014 12:00:00 AM,193448
107.1,107.35,106.35,107.15,17/04/2014 12:00:00 AM,259122
107,108.1,105.75,105.9,21/04/2014 12:00:00 AM,695927
106.5,106.5,104.4,105.95,22/04/2014 12:00:00 AM,165275
105.95,106.55,105.1,105.3,23/04/2014 12:00:00 AM,645809
105.6,105.95,104.75,105.45,25/04/2014 12:00:00 AM,179811
105,106.5,104.9,106.15,28/04/2014 12:00:00 AM,155317
106.3,107.4,105.1,105.3,29/04/2014 12:00:00 AM,121891
105.9,107.9,105,105.75,30/04/2014 12:00:00 AM,278515
105.8,106.35,104,104.35,02/05/2014 12:00:00 AM,542128
105,105.5,103.95,104.8,05/05/2014 12:00:00 AM,95390
104.9,105.05,102.1,102.45,06/05/2014 12:00:00 AM,160472
102.8,103.5,102,102.6,07/05/2014 12:00:00 AM,102732
102.55,104.65,102.55,103.65,08/05/2014 12:00:00 AM,127646
104.7,106.9,103.7,106.5,09/05/2014 12:00:00 AM,378680
106,113,106,111.45,12/05/2014 12:00:00 AM,934009
112,115.2,112,112.8,13/05/2014 12:00:00 AM,884852
113,113.8,111.5,112,14/05/2014 12:00:00 AM,300992
112,115.4,108.2,114.15,15/05/2014 12:00:00 AM,870607
116.2,125.3,116.2,119.35,16/05/2014 12:00:00 AM,1861530
120,125,119,122.5,19/05/2014 12:00:00 AM,1960203
123.8,127.2,123.15,124.75,20/05/2014 12:00:00 AM,754354
124.9,125.55,123.1,124.25,21/05/2014 12:00:00 AM,355522
124.25,126.95,123.25,125.5,22/05/2014 12:00:00 AM,1197370
126.75,131.8,120.75,130.65,23/05/2014 12:00:00 AM,1146282
131.95,135,122.65,128,26/05/2014 12:00:00 AM,929206
127.95,128.4,124.15,126.8,27/05/2014 12:00:00 AM,351548
126.35,127.1,124.3,124.95,28/05/2014 12:00:00 AM,404605
125,126.3,124.35,124.9,29/05/2014 12:00:00 AM,258630
125,126.5,121,121.75,30/05/2014 12:00:00 AM,502367
121.6,126.4,121.6,125.2,02/06/2014 12:00:00 AM,703697
126,126.55,124,125.45,03/06/2014 12:00:00 AM,270840
125.2,125.7,124,124.15,04/06/2014 12:00:00 AM,270891
125.05,128.6,125.05,126.75,05/06/2014 12:00:00 AM,1210987
127.2,128.4,126.05,127.8,06/06/2014 12:00:00 AM,2402693
128.95,140.75,128.15,137.55,09/06/2014 12:00:00 AM,3193207
139.9,140.9,134.55,136.4,10/06/2014 12:00:00 AM,1542073
136,137.15,131.6,133.55,11/06/2014 12:00:00 AM,717488
133.05,137.6,132.25,136.45,12/06/2014 12:00:00 AM,613338
137.1,138.55,130.3,133.1,13/06/2014 12:00:00 AM,662858
132.85,132.9,129.75,131.85,16/06/2014 12:00:00 AM,532684
132,134.7,131.3,133.5,17/06/2014 12:00:00 AM,598156
133.7,136.35,131.3,133.7,18/06/2014 12:00:00 AM,603897
133.9,134.85,130.75,131.15,19/06/2014 12:00:00 AM,744465
131.95,133.15,130.75,132.05,20/06/2014 12:00:00 AM,696827
131.7,133.35,130.7,131.65,23/06/2014 12:00:00 AM,272484
132.5,133.6,131.9,132.4,24/06/2014 12:00:00 AM,683293
131.6,133.15,131.3,132.3,25/06/2014 12:00:00 AM,828602
133,133.5,131.65,132.5,26/06/2014 12:00:00 AM,271214
133.5,137.25,131.55,136.65,27/06/2014 12:00:00 AM,629680
137.1,140.1,137.1,139.15,30/06/2014 12:00:00 AM,738249
139.8,141.45,138.55,139.65,01/07/2014 12:00:00 AM,835289
140.5,142.45,140.25,140.8,02/07/2014 12:00:00 AM,495315
142,142,139.55,140.25,03/07/2014 12:00:00 AM,325500
140.5,146.05,139.5,144,04/07/2014 12:00:00 AM,612476
145.5,146.5,143.9,145.6,07/07/2014 12:00:00 AM,795104
145.7,146.2,136,137.55,08/07/2014 12:00:00 AM,726494
138,139.2,133.7,136.3,09/07/2014 12:00:00 AM,510074
136.5,139.8,129.7,137.95,10/07/2014 12:00:00 AM,1419559
