Open,High,Low,Close,Date,Volume
408,412.8,405.95,410.8,10/02/2014 12:00:00 AM,183869
411.83,412.13,401.5,402.75,11/02/2014 12:00:00 AM,291076
403.5,410.93,403.5,408.73,12/02/2014 12:00:00 AM,250224
409,409.38,402.88,403.73,13/02/2014 12:00:00 AM,158794
405.18,411.45,404.5,410.75,14/02/2014 12:00:00 AM,171161
410.45,411.08,403.8,405.73,17/02/2014 12:00:00 AM,174227
404.85,408.95,404.5,406.38,18/02/2014 12:00:00 AM,442705
406.8,409.98,405.25,406.28,19/02/2014 12:00:00 AM,135824
405.5,406.88,401.7,402.68,20/02/2014 12:00:00 AM,186495
404,407.98,403.1,405.65,21/02/2014 12:00:00 AM,161023
405,407.25,402.88,406.2,24/02/2014 12:00:00 AM,177349
407.28,408.13,403.9,405.2,25/02/2014 12:00:00 AM,160983
406.38,408.25,404.13,405.28,26/02/2014 12:00:00 AM,168039
405.98,407,397,399.63,28/02/2014 12:00:00 AM,329037
400,403,399,401.75,03/03/2014 12:00:00 AM,245230
402,408.28,401.5,407.3,04/03/2014 12:00:00 AM,287177
407.95,408.93,402.5,403.45,05/03/2014 12:00:00 AM,193440
404.68,412.2,404.68,411,06/03/2014 12:00:00 AM,256000
412.5,436.9,412.5,434.5,07/03/2014 12:00:00 AM,792232
432.35,451.2,431.5,442.9,10/03/2014 12:00:00 AM,924275
442.35,443.95,436.3,437.48,11/03/2014 12:00:00 AM,264306
436.58,441.18,433.55,435.58,12/03/2014 12:00:00 AM,197819
437.03,447.4,436.95,439.55,13/03/2014 12:00:00 AM,562055
436,444.95,434.88,443.05,14/03/2014 12:00:00 AM,240035
445,454.4,444.4,447.68,18/03/2014 12:00:00 AM,501653
449.5,454.95,447.78,451.08,19/03/2014 12:00:00 AM,283164
451.3,453.35,449,452.85,20/03/2014 12:00:00 AM,276617
453.13,456.85,441.28,442.88,21/03/2014 12:00:00 AM,335182
443.68,445.5,442,444.15,22/03/2014 12:00:00 AM,29279
446,454,446,452.3,24/03/2014 12:00:00 AM,352885
439.5,441.48,436.3,439.33,25/03/2014 12:00:00 AM,560413
440.9,451.33,440.9,445.1,26/03/2014 12:00:00 AM,368133
447.5,452.23,446.38,451.08,27/03/2014 12:00:00 AM,1072201
449.8,459.65,449.8,457.08,28/03/2014 12:00:00 AM,484239
458.63,469.65,457.05,464.75,31/03/2014 12:00:00 AM,407524
467.53,472.18,465.05,470.58,01/04/2014 12:00:00 AM,497647
472.5,479.9,469.28,478.48,02/04/2014 12:00:00 AM,499556
477.8,481.1,470.38,475.98,03/04/2014 12:00:00 AM,245107
475.08,476.3,471.05,472.1,04/04/2014 12:00:00 AM,241610
472,477.45,467.45,472.03,07/04/2014 12:00:00 AM,105680
468.4,482.43,468.4,480.55,09/04/2014 12:00:00 AM,264649
480.6,486.45,480.6,484.4,10/04/2014 12:00:00 AM,614665
483.4,485.3,475.15,476.43,11/04/2014 12:00:00 AM,265219
476.88,476.88,468.48,474.25,15/04/2014 12:00:00 AM,971549
470.1,479.5,469.1,470.53,16/04/2014 12:00:00 AM,225536
472.5,481.4,472.2,479.38,17/04/2014 12:00:00 AM,354067
484.08,485,478,479.73,21/04/2014 12:00:00 AM,499487
480,494.45,478.45,484.18,22/04/2014 12:00:00 AM,638261
485,488.45,482.5,483.43,23/04/2014 12:00:00 AM,299956
483.63,484,472.5,473.7,25/04/2014 12:00:00 AM,238728
473.95,477.7,471.08,472.68,28/04/2014 12:00:00 AM,126355
474,475.9,469.18,470.15,29/04/2014 12:00:00 AM,215499
472.5,480,465,467.65,30/04/2014 12:00:00 AM,257319
470.5,473.65,462.75,464.15,02/05/2014 12:00:00 AM,177539
465,478.83,462.5,472.6,05/05/2014 12:00:00 AM,383232
474,483.5,474,481.63,06/05/2014 12:00:00 AM,676041
481,485.5,478.5,480.38,07/05/2014 12:00:00 AM,421824
481.08,484.98,475.48,479.83,08/05/2014 12:00:00 AM,446696
478.95,499.5,478.35,498.68,09/05/2014 12:00:00 AM,656987
498.73,524,497.5,514.48,12/05/2014 12:00:00 AM,1003419
518.55,532.95,516.43,530.68,13/05/2014 12:00:00 AM,1005312
531.35,533.5,520.78,522.78,14/05/2014 12:00:00 AM,465719
522.5,529.43,520,526.6,15/05/2014 12:00:00 AM,487277
540.58,571.25,531.5,540.25,16/05/2014 12:00:00 AM,2062948
543,562.2,543,560.13,19/05/2014 12:00:00 AM,549611
562.5,565,537.5,539.25,20/05/2014 12:00:00 AM,547984
