Open,High,Low,Close,Date,Volume
153.47,153.47,150.76,151.43,10/02/2014 12:00:00 AM,145480
151.4,152.82,151.4,151.85,11/02/2014 12:00:00 AM,430915
152.9,154,151.77,153.27,12/02/2014 12:00:00 AM,1060034
153.6,153.65,149.5,149.97,13/02/2014 12:00:00 AM,226532
150.4,151.37,145.6,147.51,14/02/2014 12:00:00 AM,943941
147.6,148.49,146.31,147.34,17/02/2014 12:00:00 AM,249054
147.2,151,147.2,149.91,18/02/2014 12:00:00 AM,795349
150,151.57,149.8,150.87,19/02/2014 12:00:00 AM,362373
150,150.1,147.63,148.15,20/02/2014 12:00:00 AM,170726
148.5,150.5,148.5,150.31,21/02/2014 12:00:00 AM,251422
150.6,151.8,149.07,151.08,24/02/2014 12:00:00 AM,380027
151.87,152.06,150,150.68,25/02/2014 12:00:00 AM,232746
150.92,153.4,150.67,152.17,26/02/2014 12:00:00 AM,586932
152.63,153.81,152,153.17,28/02/2014 12:00:00 AM,192940
153,155.72,151.52,151.85,03/03/2014 12:00:00 AM,398201
151.71,155.38,151.55,154.97,04/03/2014 12:00:00 AM,209993
156,158.1,154,157.35,05/03/2014 12:00:00 AM,356163
158.35,158.35,156.14,157.62,06/03/2014 12:00:00 AM,239501
158.5,166.39,158.1,164.88,07/03/2014 12:00:00 AM,507632
165,171,164.03,169.14,10/03/2014 12:00:00 AM,460074
169,172.2,166.66,167.52,11/03/2014 12:00:00 AM,301560
166.3,167.35,164,164.48,12/03/2014 12:00:00 AM,210547
165.05,169.73,164.48,165.18,13/03/2014 12:00:00 AM,349245
164.1,167,163.01,165.35,14/03/2014 12:00:00 AM,233008
165.22,170.94,165.22,169.84,18/03/2014 12:00:00 AM,304309
171.1,171.8,169.6,170.74,19/03/2014 12:00:00 AM,208490
170.33,170.5,167.35,167.8,20/03/2014 12:00:00 AM,141708
169.21,171,168.93,170.26,21/03/2014 12:00:00 AM,189276
170.1,170.59,169.53,170.24,22/03/2014 12:00:00 AM,14650
171.45,173.9,171.4,172.55,24/03/2014 12:00:00 AM,243345
173,174.69,172.8,174.11,25/03/2014 12:00:00 AM,204583
