Open,High,Low,Close,Date,Volume
605,613.9,603.05,611.4,10/02/2014 12:00:00 AM,195690
615.25,624.5,607,608.6,11/02/2014 12:00:00 AM,125672
616,619.45,610,611.05,12/02/2014 12:00:00 AM,85764
614.95,623.5,610.05,614.7,13/02/2014 12:00:00 AM,315757
622,626.25,605.55,608.95,14/02/2014 12:00:00 AM,221601
614.9,615,602,605.95,17/02/2014 12:00:00 AM,84868
607.5,611.55,604.7,609,18/02/2014 12:00:00 AM,56968
611.7,625,611.4,623.3,19/02/2014 12:00:00 AM,377032
621.4,628.65,618,619.35,20/02/2014 12:00:00 AM,120028
622,623.9,612.5,614.3,21/02/2014 12:00:00 AM,202592
615,623.5,614,620.35,24/02/2014 12:00:00 AM,75509
621.05,625.5,615.45,618.6,25/02/2014 12:00:00 AM,337770
621.95,632.9,621.55,626.8,26/02/2014 12:00:00 AM,144857
630,644.9,630,642.7,28/02/2014 12:00:00 AM,121300
646.15,653.1,622.65,625.05,03/03/2014 12:00:00 AM,125094
626.9,628.95,616.9,620.5,04/03/2014 12:00:00 AM,126569
625.8,627,621,622.25,05/03/2014 12:00:00 AM,64213
623,629.9,618.95,621,06/03/2014 12:00:00 AM,169773
623.95,625.6,608.1,612.15,07/03/2014 12:00:00 AM,172316
611,611,593,596,10/03/2014 12:00:00 AM,159573
595,595.1,578,580.35,11/03/2014 12:00:00 AM,282659
583,607,583,604,12/03/2014 12:00:00 AM,200773
609.2,610,565.6,573.6,13/03/2014 12:00:00 AM,634050
571.45,583.7,552.5,581.75,14/03/2014 12:00:00 AM,450504
585.75,587,572,579.05,18/03/2014 12:00:00 AM,144812
580,587,577.85,585,19/03/2014 12:00:00 AM,103007
585,595.9,583.2,590.3,20/03/2014 12:00:00 AM,102268
591,592.5,579.4,580.4,21/03/2014 12:00:00 AM,98847
585,585.75,580.25,584.35,22/03/2014 12:00:00 AM,5105
582.7,587.95,579.65,580.6,24/03/2014 12:00:00 AM,87072
580.6,587,575.5,579.3,25/03/2014 12:00:00 AM,81800
582.35,583.45,563.05,566.4,26/03/2014 12:00:00 AM,202847
570.55,573.7,556.5,560.75,27/03/2014 12:00:00 AM,265857
565,570,559.3,563.5,28/03/2014 12:00:00 AM,139899
566,574.7,566,573.35,31/03/2014 12:00:00 AM,120394
573.5,578,571.7,573.35,01/04/2014 12:00:00 AM,124874
572.1,581.85,570.35,575.4,02/04/2014 12:00:00 AM,297515
580,583,575.9,578.75,03/04/2014 12:00:00 AM,162312
581,585,571,571.9,04/04/2014 12:00:00 AM,292178
582,599,574,587.25,07/04/2014 12:00:00 AM,437933
599.9,634.8,595.05,627.8,09/04/2014 12:00:00 AM,1131744
630.55,643.2,611.6,616.2,10/04/2014 12:00:00 AM,740288
618,634,617.8,627.75,11/04/2014 12:00:00 AM,380495
630,633.7,615,616.3,15/04/2014 12:00:00 AM,382887
620,623.55,612.55,614.6,16/04/2014 12:00:00 AM,147571
618,625,614.45,624.3,17/04/2014 12:00:00 AM,122131
628.3,629,619.2,621.55,21/04/2014 12:00:00 AM,88189
619.9,623.55,617.05,619.35,22/04/2014 12:00:00 AM,99226
620,634.9,620,626.1,23/04/2014 12:00:00 AM,217212
629,632.25,621.15,622.8,25/04/2014 12:00:00 AM,85394
627.9,637,622.25,635.2,28/04/2014 12:00:00 AM,215115
638,644.05,633,639.35,29/04/2014 12:00:00 AM,186894
633.95,637,623.9,631.55,30/04/2014 12:00:00 AM,168676
635,641.3,628.65,630,02/05/2014 12:00:00 AM,96487
625,634.3,622.9,626.3,05/05/2014 12:00:00 AM,75035
629.9,629.9,621,625.25,06/05/2014 12:00:00 AM,63625
625,636.95,624.15,631.45,07/05/2014 12:00:00 AM,118327
632,632,623.35,624.7,08/05/2014 12:00:00 AM,58305
624.7,630.7,619.25,623.9,09/05/2014 12:00:00 AM,103645
624.9,627.9,610.95,613.1,12/05/2014 12:00:00 AM,228788
616.25,619.15,604,610.2,13/05/2014 12:00:00 AM,162734
619.85,619.85,607.4,611.3,14/05/2014 12:00:00 AM,135264
619.8,629.5,614,621.8,15/05/2014 12:00:00 AM,146449
630,633.95,611.2,613.2,16/05/2014 12:00:00 AM,183507
613,621.9,574.75,583.6,19/05/2014 12:00:00 AM,422873
585,593.75,575.55,587.3,20/05/2014 12:00:00 AM,497723
585,586,575.2,577.15,21/05/2014 12:00:00 AM,240524
583,586.9,572.15,580.1,22/05/2014 12:00:00 AM,245871
584.95,586.75,580.5,584.7,23/05/2014 12:00:00 AM,145391
602.5,607.25,586,591.9,26/05/2014 12:00:00 AM,502754
595,597.8,585,592.25,27/05/2014 12:00:00 AM,168725
598,599.4,581.25,583.9,28/05/2014 12:00:00 AM,521345
587,591.9,582.5,587.6,29/05/2014 12:00:00 AM,364711
595,612.9,590.1,607.4,30/05/2014 12:00:00 AM,306482
614,615,597,599.25,02/06/2014 12:00:00 AM,129120
600,605.9,597.65,601.15,03/06/2014 12:00:00 AM,112934
603,607.5,594.35,597.75,04/06/2014 12:00:00 AM,114826
598,603,593.95,597.85,05/06/2014 12:00:00 AM,164160
611.5,611.5,595.9,599.35,06/06/2014 12:00:00 AM,173293
601,604,594.9,601.25,09/06/2014 12:00:00 AM,130743
602.5,614.85,602.5,608.75,10/06/2014 12:00:00 AM,207777
617,619.4,605.5,613.5,11/06/2014 12:00:00 AM,156356
618,633,616.75,630.7,12/06/2014 12:00:00 AM,240521
631.3,637.85,623,627.9,13/06/2014 12:00:00 AM,216225
625,646.1,625,643.55,16/06/2014 12:00:00 AM,210831
645,652.05,636.55,647.9,17/06/2014 12:00:00 AM,186726
646,650.5,632.5,635.05,18/06/2014 12:00:00 AM,121156
636.95,643.85,628.8,641.95,19/06/2014 12:00:00 AM,175321
642,642,626.05,631.15,20/06/2014 12:00:00 AM,113505
632.55,637.5,629,633,23/06/2014 12:00:00 AM,67324
632.5,636.7,625,627.6,24/06/2014 12:00:00 AM,84402
627,636,626,632.65,25/06/2014 12:00:00 AM,89493
630,640.8,626.9,635.4,26/06/2014 12:00:00 AM,114762
646,674.7,646,660.65,27/06/2014 12:00:00 AM,444835
670,688,664.25,686.25,30/06/2014 12:00:00 AM,312188
686.6,687.9,678,679.4,01/07/2014 12:00:00 AM,84094
685,696.45,683.8,693.95,02/07/2014 12:00:00 AM,192061
700,709.95,693.05,706.35,03/07/2014 12:00:00 AM,50261
706.35,714.35,704,708.55,04/07/2014 12:00:00 AM,119047
710.55,737,707.8,719.85,07/07/2014 12:00:00 AM,163317
734.8,744.4,721,724.8,08/07/2014 12:00:00 AM,201509
728,733.5,712,721.5,09/07/2014 12:00:00 AM,345975
726,740.25,713.4,724.95,10/07/2014 12:00:00 AM,190745
725,751.2,719.75,741.45,11/07/2014 12:00:00 AM,139109
744,748,724,737.65,14/07/2014 12:00:00 AM,119294
736.5,746.9,733,738.7,15/07/2014 12:00:00 AM,78707
750,753,737.1,743.65,16/07/2014 12:00:00 AM,88391
740,748.5,740,741.3,17/07/2014 12:00:00 AM,68442
744,744.7,733,741.25,18/07/2014 12:00:00 AM,65444
752,753.65,742,743.9,21/07/2014 12:00:00 AM,133137
751,757.5,745.75,749.55,22/07/2014 12:00:00 AM,57286
