Open,High,Low,Close,Date
360.99,363.21,356.04,360,10/02/2014 12:00:00 AM
377.06,378.24,366.87,370.18,11/02/2014 12:00:00 AM
371.37,378.69,370.48,371.91,12/02/2014 12:00:00 AM
375.72,379.18,370.58,371.81,13/02/2014 12:00:00 AM
374.88,384.72,374.88,383.88,14/02/2014 12:00:00 AM
385.96,391.1,380.02,382.1,17/02/2014 12:00:00 AM
383.39,390.06,381.21,387.14,18/02/2014 12:00:00 AM
387.05,388.38,383.34,387.14,19/02/2014 12:00:00 AM
386.7,390.66,384.72,386.9,20/02/2014 12:00:00 AM
390.66,393.23,388.68,391.59,21/02/2014 12:00:00 AM
391.79,396.14,389.72,392.24,24/02/2014 12:00:00 AM
394.91,395.35,389.07,394.22,25/02/2014 12:00:00 AM
393.62,398.07,391.74,396.05,26/02/2014 12:00:00 AM
405.49,413.4,400.25,412.46,28/02/2014 12:00:00 AM
409.05,409.45,403.71,406.13,03/03/2014 12:00:00 AM
406.92,415.68,401.53,408.36,04/03/2014 12:00:00 AM
410.44,411.67,403.02,405.29,05/03/2014 12:00:00 AM
406.48,407.47,400.05,403.46,06/03/2014 12:00:00 AM
403.31,411.18,401.24,404.5,07/03/2014 12:00:00 AM
399.31,402.28,389.27,391.55,10/03/2014 12:00:00 AM
387.79,400.05,387.79,393.72,11/03/2014 12:00:00 AM
393.13,393.23,383.73,384.47,12/03/2014 12:00:00 AM
388.68,392.19,380.86,383.73,13/03/2014 12:00:00 AM
379.78,390.16,378.79,388.97,14/03/2014 12:00:00 AM
388.68,392.93,376.22,377.2,18/03/2014 12:00:00 AM
380.77,383.29,375.47,380.32,19/03/2014 12:00:00 AM
379.48,380.77,374.98,375.92,20/03/2014 12:00:00 AM
377.65,385.71,377.65,384.87,21/03/2014 12:00:00 AM
385.26,385.71,383.19,384.57,22/03/2014 12:00:00 AM
387.69,390.11,385.07,386.8,24/03/2014 12:00:00 AM
389.67,389.67,382.74,386.4,25/03/2014 12:00:00 AM
389.62,398.37,389.62,396.84,26/03/2014 12:00:00 AM
397.92,400.45,389.81,392.48,27/03/2014 12:00:00 AM
395.6,398.57,390.66,392.09,28/03/2014 12:00:00 AM
395.6,399.8,392.53,393.97,31/03/2014 12:00:00 AM
398.57,401.09,395.3,398.57,01/04/2014 12:00:00 AM
