Open,High,Low,Close,Date
178.89,181.86,178.89,180.13,10/02/2014 12:00:00 AM
189.09,189.59,185.23,185.63,11/02/2014 12:00:00 AM
187.9,189.54,186.91,188.94,12/02/2014 12:00:00 AM
189.09,192.65,188.3,189.83,13/02/2014 12:00:00 AM
191.07,193.89,190.08,193.3,14/02/2014 12:00:00 AM
193.55,196.02,191.07,192.56,17/02/2014 12:00:00 AM
192.56,195.23,192.06,193.84,18/02/2014 12:00:00 AM
193.94,193.94,191.17,192.75,19/02/2014 12:00:00 AM
193.1,194.54,191.07,192.31,20/02/2014 12:00:00 AM
193.15,195.18,191.17,193.99,21/02/2014 12:00:00 AM
194.88,195.87,193.15,194.09,24/02/2014 12:00:00 AM
194.09,195.03,192.41,192.9,25/02/2014 12:00:00 AM
192.51,195.03,191.32,194.34,26/02/2014 12:00:00 AM
198,202.75,196.76,201.86,28/02/2014 12:00:00 AM
201.86,201.86,196.37,197.36,03/03/2014 12:00:00 AM
197.36,202.85,194.83,196.71,04/03/2014 12:00:00 AM
200.97,200.97,193.05,193.79,05/03/2014 12:00:00 AM
195.03,196.56,192.31,195.67,06/03/2014 12:00:00 AM
194.98,203.2,194.88,200.52,07/03/2014 12:00:00 AM
199.98,199.98,192.06,194.04,10/03/2014 12:00:00 AM
195.03,199.49,194.24,195.13,11/03/2014 12:00:00 AM
197.01,197.01,189.49,190.48,12/03/2014 12:00:00 AM
191.57,194.19,188.6,189.44,13/03/2014 12:00:00 AM
188.1,193.35,188.1,192.36,14/03/2014 12:00:00 AM
192.85,195.13,187.31,187.85,18/03/2014 12:00:00 AM
189.39,190.58,186.62,188.99,19/03/2014 12:00:00 AM
188.1,189.24,185.72,186.32,20/03/2014 12:00:00 AM
187.11,189.59,186.52,188.99,21/03/2014 12:00:00 AM
188.89,189.34,188.45,189.04,22/03/2014 12:00:00 AM
189.24,190.58,187.56,188.3,24/03/2014 12:00:00 AM
188.45,189.59,186.62,188.05,25/03/2014 12:00:00 AM
190.28,193.55,190.28,192.46,26/03/2014 12:00:00 AM
192.9,194.44,190.38,192.11,27/03/2014 12:00:00 AM
192.06,196.66,191.52,194.24,28/03/2014 12:00:00 AM
195.03,203.35,194.93,200.48,31/03/2014 12:00:00 AM
200.48,212.36,200.48,209.09,01/04/2014 12:00:00 AM
211.81,218.69,210.38,217.31,02/04/2014 12:00:00 AM
218.84,219.83,212.95,215.87,03/04/2014 12:00:00 AM
215.87,216.07,212.95,213.74,04/04/2014 12:00:00 AM
214.83,218.79,212.55,216.46,07/04/2014 12:00:00 AM
217.8,230.97,217.8,228.15,09/04/2014 12:00:00 AM
