Open,High,Low,Close,Date,Volume
365.5,376.71,358.67,360.32,10/02/2014 12:00:00 AM,928377
363.61,370.3,363.14,367.52,11/02/2014 12:00:00 AM,795497
365.54,365.54,351.65,352.64,12/02/2014 12:00:00 AM,1250036
355.04,356.69,344.02,346.04,13/02/2014 12:00:00 AM,976308
348.45,350.9,339.12,349.53,14/02/2014 12:00:00 AM,963574
350.42,353.06,345.38,351.84,17/02/2014 12:00:00 AM,595131
352.97,359.33,350.66,357.02,18/02/2014 12:00:00 AM,647717
358.9,358.9,349.76,352.36,19/02/2014 12:00:00 AM,501451
347.6,348.54,343.17,346,20/02/2014 12:00:00 AM,638697
346.66,353.2,346.19,352.21,21/02/2014 12:00:00 AM,423056
352.31,352.31,345.15,347.79,24/02/2014 12:00:00 AM,517480
349.15,350.71,339.12,339.97,25/02/2014 12:00:00 AM,711898
341,342.09,328.29,328.99,26/02/2014 12:00:00 AM,1277625
330.17,334.17,321.41,324.1,28/02/2014 12:00:00 AM,1532847
323.86,329.23,321.22,325.37,03/03/2014 12:00:00 AM,877619
326.31,332.06,325.46,331.35,04/03/2014 12:00:00 AM,827897
334.41,338.98,331.68,335.12,05/03/2014 12:00:00 AM,890641
337.47,343.78,335.4,343.08,06/03/2014 12:00:00 AM,953368
347.6,351.27,343.83,348.78,07/03/2014 12:00:00 AM,961478
347.83,349.34,341.8,343.12,10/03/2014 12:00:00 AM,743445
343.83,343.83,323.25,324.19,11/03/2014 12:00:00 AM,1801219
321.5,328.38,317.83,319.9,12/03/2014 12:00:00 AM,1752105
322.16,327.63,315,317.27,13/03/2014 12:00:00 AM,979606
313.92,322.92,312.93,321.93,14/03/2014 12:00:00 AM,1022618
325.08,327.72,319.76,320.94,18/03/2014 12:00:00 AM,693985
322.64,338.37,320.89,335.63,19/03/2014 12:00:00 AM,1687537
336.62,339.03,327.49,329.7,20/03/2014 12:00:00 AM,923958
331.58,343.83,331.58,341.48,21/03/2014 12:00:00 AM,1278658
341.95,342.51,339.4,340.86,22/03/2014 12:00:00 AM,81280
343.83,345.71,335.68,341.9,24/03/2014 12:00:00 AM,1150634
341.95,349.76,340.91,345.43,25/03/2014 12:00:00 AM,1005797
348.92,354.1,348.63,352.59,26/03/2014 12:00:00 AM,906479
352.31,357.11,350.99,353.11,27/03/2014 12:00:00 AM,670745
356.45,359.84,354.43,358.81,28/03/2014 12:00:00 AM,638779
361.73,373.03,361.26,371.01,31/03/2014 12:00:00 AM,1247521
371.62,379.91,363.85,378.02,01/04/2014 12:00:00 AM,1552805
379.63,381.42,375.91,380.05,02/04/2014 12:00:00 AM,821639
379.72,388.01,371.76,375.43,03/04/2014 12:00:00 AM,938915
377.13,381.04,372.61,378.59,04/04/2014 12:00:00 AM,604087
379.63,385.28,375.25,382.4,07/04/2014 12:00:00 AM,324466
385.75,395.64,385.28,394.56,09/04/2014 12:00:00 AM,747666
394.32,399.88,387.44,392.63,10/04/2014 12:00:00 AM,1160818
391.87,398.65,387.16,395.73,11/04/2014 12:00:00 AM,904126
396.58,399.74,383.39,384.71,15/04/2014 12:00:00 AM,689538
385.47,392.34,381.89,389.75,16/04/2014 12:00:00 AM,832834
388.95,395.45,387.68,394.51,17/04/2014 12:00:00 AM,583087
394.7,400.73,393.38,398.7,21/04/2014 12:00:00 AM,659440
397.81,399.13,393.8,396.63,22/04/2014 12:00:00 AM,613705
397.48,404.02,395.92,401.86,23/04/2014 12:00:00 AM,773316
403.08,407.6,398.14,401.53,25/04/2014 12:00:00 AM,856143
401.29,406.85,399.36,401.2,28/04/2014 12:00:00 AM,492067
402.94,404.12,380.76,381.98,29/04/2014 12:00:00 AM,1049120
382.83,383.82,370.58,377.37,30/04/2014 12:00:00 AM,1069208
380.38,382.92,366.25,368.09,02/05/2014 12:00:00 AM,943341
368.98,380.19,366.2,374.26,05/05/2014 12:00:00 AM,784176
377.04,380.57,375.34,377.6,06/05/2014 12:00:00 AM,454300
377.51,379.96,373.5,376.75,07/05/2014 12:00:00 AM,443663
379.16,382.59,375.86,378.92,08/05/2014 12:00:00 AM,415735
377.55,396.35,375.95,392.72,09/05/2014 12:00:00 AM,1376912
392.77,402.23,392.34,395.88,12/05/2014 12:00:00 AM,839755
400.35,415.66,396.96,402.14,13/05/2014 12:00:00 AM,1812028
405.06,428.09,405.06,425.93,14/05/2014 12:00:00 AM,2085438
429.55,440.86,424.94,433.98,15/05/2014 12:00:00 AM,2579076
443.68,456.73,403.46,414.9,16/05/2014 12:00:00 AM,3575167
417.4,433.65,410.95,425.08,19/05/2014 12:00:00 AM,1841744
429.27,446.13,427.86,439.91,20/05/2014 12:00:00 AM,1322914
440.76,443.26,431.11,435.58,21/05/2014 12:00:00 AM,786048
439.49,449.76,438.5,443.73,22/05/2014 12:00:00 AM,781204
444.39,454.89,442.79,449.85,23/05/2014 12:00:00 AM,923688
453.62,466.2,428.66,441.23,26/05/2014 12:00:00 AM,1301402
440.86,450.28,435.16,449.1,27/05/2014 12:00:00 AM,1013039
452.16,455.6,440.01,441.52,28/05/2014 12:00:00 AM,670567
443.68,446.7,436.62,438.64,29/05/2014 12:00:00 AM,547927
440.86,448.77,436.62,447.45,30/05/2014 12:00:00 AM,616805
449.33,467.23,444.62,464.22,02/06/2014 12:00:00 AM,1106398
469.12,496.58,467.7,495.26,03/06/2014 12:00:00 AM,2218852
497.38,511.79,494.93,505.48,04/06/2014 12:00:00 AM,1541099
506.33,526.25,506.33,522.9,05/06/2014 12:00:00 AM,1406588
528.7,535.81,520.36,527.76,06/06/2014 12:00:00 AM,1085552
530.58,545.04,527.76,540.43,09/06/2014 12:00:00 AM,862974
541.65,542.59,521.26,526.39,10/06/2014 12:00:00 AM,926354
527.52,532.7,513.67,517.35,11/06/2014 12:00:00 AM,836577
517.63,525.07,512.26,518.05,12/06/2014 12:00:00 AM,633403
518.1,520.93,493.14,495.26,13/06/2014 12:00:00 AM,911344
495.02,498.98,482.78,494.41,16/06/2014 12:00:00 AM,1050537
493.66,503.03,484.14,501.24,17/06/2014 12:00:00 AM,1312947
503.97,508.49,488.19,491.77,18/06/2014 12:00:00 AM,1034889
494.69,495.54,485.13,489.18,19/06/2014 12:00:00 AM,756142
489.84,502.93,487.96,489.6,20/06/2014 12:00:00 AM,880345
490.22,497.85,490.22,496.39,23/06/2014 12:00:00 AM,643368
497.38,504.82,496.95,501.52,24/06/2014 12:00:00 AM,539079
502.09,506.65,499.26,500.06,25/06/2014 12:00:00 AM,376054
501.94,505.1,493.61,495.3,26/06/2014 12:00:00 AM,517941
497.66,500.2,487.3,489.37,27/06/2014 12:00:00 AM,540593
490.36,499.73,489.84,497.66,30/06/2014 12:00:00 AM,369212
499.26,513.72,499.26,509.95,01/07/2014 12:00:00 AM,771225
514.8,518.1,511.04,512.12,02/07/2014 12:00:00 AM,587296
513.77,517.16,506.8,508.02,03/07/2014 12:00:00 AM,168406
510.56,512.92,500.81,505.34,04/07/2014 12:00:00 AM,541295
504.96,511.69,503.26,505.01,07/07/2014 12:00:00 AM,381284
506.14,508.21,480.42,483.53,08/07/2014 12:00:00 AM,978236
484.8,495.77,481.6,487.3,09/07/2014 12:00:00 AM,749768
489.13,506.28,480.8,491.63,10/07/2014 12:00:00 AM,1200739
490.78,493.61,470.15,471.89,11/07/2014 12:00:00 AM,985661
468.17,487.39,465.02,484.14,14/07/2014 12:00:00 AM,776687
488.24,498.32,484.33,495.73,15/07/2014 12:00:00 AM,588550
498.32,514.14,495.02,511.22,16/07/2014 12:00:00 AM,967486
511.51,527.43,509.01,526.48,17/07/2014 12:00:00 AM,1002522
525.17,534.87,517.49,529.4,18/07/2014 12:00:00 AM,1143383
532.23,538.35,527.76,529.45,21/07/2014 12:00:00 AM,815292
533.03,535.86,523.33,529.5,22/07/2014 12:00:00 AM,720557
531.81,533.22,518.24,522.76,23/07/2014 12:00:00 AM,557377
524.36,537.88,521.3,534.16,24/07/2014 12:00:00 AM,1103400
