Open,High,Low,Close,Date,Volume
1072.5,1074,1044,1046.85,10/02/2014 12:00:00 AM,108341
1047.5,1063,1047.5,1050.5,11/02/2014 12:00:00 AM,101268
1061.85,1061.9,1047.55,1051.9,12/02/2014 12:00:00 AM,63264
1054.5,1069.5,1049.5,1066.88,13/02/2014 12:00:00 AM,82748
1069.5,1092.2,1064.25,1083.13,14/02/2014 12:00:00 AM,74969
1084.5,1093.5,1074.78,1084.3,17/02/2014 12:00:00 AM,101266
1083.35,1094.95,1079.35,1083.08,18/02/2014 12:00:00 AM,33951
1085.5,1104.88,1080.38,1099.23,19/02/2014 12:00:00 AM,47037
1101.1,1110.75,1093.23,1096.43,20/02/2014 12:00:00 AM,67690
1101.5,1105.5,1096,1102.68,21/02/2014 12:00:00 AM,33634
1103,1103,1085.6,1089.1,24/02/2014 12:00:00 AM,90692
1095,1099.85,1090.75,1094.15,25/02/2014 12:00:00 AM,52849
1095.5,1097.5,1089.28,1091.2,26/02/2014 12:00:00 AM,34601
1084,1138.5,1080,1136.4,28/02/2014 12:00:00 AM,146955
1135,1148.45,1116.6,1120.43,03/03/2014 12:00:00 AM,65924
1119,1127.58,1112.5,1121.48,04/03/2014 12:00:00 AM,45158
1126.53,1142.15,1121.5,1125.08,05/03/2014 12:00:00 AM,148056
1127,1129.5,1111,1120.58,06/03/2014 12:00:00 AM,38628
1125,1125,1075.85,1112.55,07/03/2014 12:00:00 AM,530988
1112.5,1113.5,1067.75,1071.75,10/03/2014 12:00:00 AM,136012
1074.1,1088.58,1062,1075.03,11/03/2014 12:00:00 AM,100502
1073.08,1094.68,1073.08,1089.38,12/03/2014 12:00:00 AM,64425
1077.5,1100.75,1069,1076.73,13/03/2014 12:00:00 AM,85394
1074.75,1080.5,1063.03,1070.58,14/03/2014 12:00:00 AM,63802
1069.85,1075,1055,1061.28,18/03/2014 12:00:00 AM,76551
1039,1039,1007.5,1020.48,19/03/2014 12:00:00 AM,281717
1019.5,1060.5,1007.35,1053.95,20/03/2014 12:00:00 AM,204400
1061,1071.9,1043.5,1062.68,21/03/2014 12:00:00 AM,341479
1063.5,1070.45,1058.98,1062.78,22/03/2014 12:00:00 AM,10522
1066,1078.63,1064.63,1076.18,24/03/2014 12:00:00 AM,486643
1074.85,1086,1065,1072.85,25/03/2014 12:00:00 AM,80298
1075.75,1077.3,1046.5,1049.18,26/03/2014 12:00:00 AM,296304
1050,1056.1,1033.35,1047.43,27/03/2014 12:00:00 AM,108823
1050,1070,1042.5,1052.78,28/03/2014 12:00:00 AM,89800
1052.5,1067.98,1041.55,1064.13,31/03/2014 12:00:00 AM,93444
1072.5,1090.5,1070,1086.23,01/04/2014 12:00:00 AM,115732
1089.9,1100,1081,1085.83,02/04/2014 12:00:00 AM,91404
1085.5,1090.45,1074.68,1083.35,03/04/2014 12:00:00 AM,54040
1085.5,1093,1065.75,1069.78,04/04/2014 12:00:00 AM,69046
1065.5,1087.5,1060.55,1075.2,07/04/2014 12:00:00 AM,153317
1079.5,1080.03,1052.5,1067.45,09/04/2014 12:00:00 AM,132772
1070,1074,1058.98,1063.28,10/04/2014 12:00:00 AM,60781
1062.9,1087,1050.58,1081.85,11/04/2014 12:00:00 AM,103958
1081.85,1129.4,1081.85,1125.78,15/04/2014 12:00:00 AM,180258
1135,1135,1092.5,1097.5,16/04/2014 12:00:00 AM,148382
1109,1115,1071.55,1108.73,17/04/2014 12:00:00 AM,297202
1112.5,1121,1106.43,1110.25,21/04/2014 12:00:00 AM,67469
1113.65,1124.48,1109,1110.15,22/04/2014 12:00:00 AM,64475
1112.55,1120,1100.98,1107.48,23/04/2014 12:00:00 AM,132677
1107,1117.35,1097.5,1101.13,25/04/2014 12:00:00 AM,53735
1111.5,1111.5,1090.03,1095.63,28/04/2014 12:00:00 AM,50952
1096.35,1102.8,1090,1096.75,29/04/2014 12:00:00 AM,44785
1097,1103.48,1090.95,1094.7,30/04/2014 12:00:00 AM,53207
1097,1109.6,1093.5,1104.43,02/05/2014 12:00:00 AM,52021
1105,1114.5,1102.5,1106.95,05/05/2014 12:00:00 AM,39849
1110,1110,1095.55,1099.48,06/05/2014 12:00:00 AM,29705
1095.5,1101.35,1071,1083.18,07/05/2014 12:00:00 AM,261018
1082.5,1090.5,1075.45,1082.68,08/05/2014 12:00:00 AM,158997
1080,1092,1075.95,1080.6,09/05/2014 12:00:00 AM,127659
1080,1083.5,1062.75,1079.85,12/05/2014 12:00:00 AM,303199
1087.5,1118.98,1085,1105.33,13/05/2014 12:00:00 AM,115381
1105,1118.75,1101.73,1107.38,14/05/2014 12:00:00 AM,72729
1108.5,1108.88,1086.63,1096.73,15/05/2014 12:00:00 AM,262563
1096.5,1126.83,1050.53,1078.78,16/05/2014 12:00:00 AM,604072
1080,1080,1000.25,1017.35,19/05/2014 12:00:00 AM,302929
1017,1044.5,1013.08,1031.53,20/05/2014 12:00:00 AM,88341
1032.5,1043.9,1028,1039.98,21/05/2014 12:00:00 AM,63956
1045,1059.13,1037,1054.65,22/05/2014 12:00:00 AM,76735
1060.5,1073.93,1050,1063.7,23/05/2014 12:00:00 AM,69788
1067.5,1085,1066.5,1076.83,26/05/2014 12:00:00 AM,65654
1078,1091.85,1058.03,1065.23,27/05/2014 12:00:00 AM,60189
1066,1080,1061.23,1074.93,28/05/2014 12:00:00 AM,185576
1077.5,1088.5,1067.5,1079.55,29/05/2014 12:00:00 AM,45387
1080,1084.58,1066.03,1072.1,30/05/2014 12:00:00 AM,33458
1073.5,1077,1058.5,1064.95,02/06/2014 12:00:00 AM,34938
1065,1069.25,1053,1065.15,03/06/2014 12:00:00 AM,123526
1066,1067.5,1040,1044.7,04/06/2014 12:00:00 AM,82179
1045.95,1056.2,1034.5,1052.78,05/06/2014 12:00:00 AM,87953
1055,1055,1031.25,1042.03,06/06/2014 12:00:00 AM,154039
1042.5,1059.5,1040,1057.63,09/06/2014 12:00:00 AM,95614
1059.95,1080,1056.98,1078.55,10/06/2014 12:00:00 AM,74071
1081.5,1105.93,1070.2,1102.63,11/06/2014 12:00:00 AM,145695
1124.05,1125.25,1092.3,1116.05,12/06/2014 12:00:00 AM,92943
1117.5,1117.88,1094,1107.35,13/06/2014 12:00:00 AM,116476
1107.5,1137.05,1107.5,1134.28,16/06/2014 12:00:00 AM,105709
1140.53,1148.43,1135,1139.08,17/06/2014 12:00:00 AM,53018
1144,1144.05,1110.05,1112.73,18/06/2014 12:00:00 AM,92022
1113.5,1142,1105.5,1137.55,19/06/2014 12:00:00 AM,293876
1140,1146.85,1131,1143.25,20/06/2014 12:00:00 AM,55951
1143,1149.5,1125.03,1132.38,23/06/2014 12:00:00 AM,47912
1132.38,1157.5,1128.43,1152.15,24/06/2014 12:00:00 AM,59990
1153.5,1159,1147.5,1154.95,25/06/2014 12:00:00 AM,35399
