Open,High,Low,Close,Date,Volume
190.75,193.9,186.6,188,10/02/2014 12:00:00 AM,545115
188.5,190.2,185.85,189,11/02/2014 12:00:00 AM,472131
190.15,190.45,185.5,187.5,12/02/2014 12:00:00 AM,347818
188.9,191.4,187.1,188.8,13/02/2014 12:00:00 AM,619274
189,190.2,184.8,189.7,14/02/2014 12:00:00 AM,386319
189.45,191.1,187.35,188.95,17/02/2014 12:00:00 AM,672971
186.5,191.1,186.5,189.8,18/02/2014 12:00:00 AM,1504408
189,190.75,185.45,186.4,19/02/2014 12:00:00 AM,262986
185,186.9,184,185.5,20/02/2014 12:00:00 AM,281377
185.8,187.15,185.05,186,21/02/2014 12:00:00 AM,799733
184.6,186.5,183.4,183.85,24/02/2014 12:00:00 AM,255146
184.5,185.25,178.7,179.7,25/02/2014 12:00:00 AM,597198
178,179.7,173.8,175,26/02/2014 12:00:00 AM,840477
174.9,178.45,174.9,177.6,28/02/2014 12:00:00 AM,417958
177,177,173.65,174.3,03/03/2014 12:00:00 AM,314483
174.4,183.5,174.25,182.8,04/03/2014 12:00:00 AM,882454
184,184.5,180.4,182.05,05/03/2014 12:00:00 AM,502512
182.5,187.8,182.5,186.1,06/03/2014 12:00:00 AM,570989
187,189,183.9,186.2,07/03/2014 12:00:00 AM,1485169
186,187.2,183.3,184.35,10/03/2014 12:00:00 AM,463370
183.75,184,176.9,177.65,11/03/2014 12:00:00 AM,1058947
176,179.75,175.05,175.6,12/03/2014 12:00:00 AM,941722
175.75,178.45,172,172.9,13/03/2014 12:00:00 AM,625615
169.8,172.85,169.55,171.65,14/03/2014 12:00:00 AM,737515
173,175,170.6,172.35,18/03/2014 12:00:00 AM,718175
173.75,177.9,172.2,175.95,19/03/2014 12:00:00 AM,668753
176,177.4,172.35,173.1,20/03/2014 12:00:00 AM,443440
174.7,179,173.5,175.85,21/03/2014 12:00:00 AM,647061
176.2,176.7,174.8,175.4,22/03/2014 12:00:00 AM,57664
176.3,179.2,174.9,177.8,24/03/2014 12:00:00 AM,498825
178.4,179.7,174.5,175.05,25/03/2014 12:00:00 AM,452596
176.75,184.6,176.4,182.45,26/03/2014 12:00:00 AM,1441321
182.1,183.5,179.2,180.15,27/03/2014 12:00:00 AM,592527
181.2,184.35,180.3,182.9,28/03/2014 12:00:00 AM,753907
183,188.55,181.8,187.95,31/03/2014 12:00:00 AM,1244371
189.75,193.65,185.85,191.85,01/04/2014 12:00:00 AM,1252334
193.4,193.65,188,189.15,02/04/2014 12:00:00 AM,802738
190,193.7,187.4,190.3,03/04/2014 12:00:00 AM,733214
190.5,191.6,188.1,189.95,04/04/2014 12:00:00 AM,622502
187,195.1,187,194.4,07/04/2014 12:00:00 AM,478227
195.1,199,194.6,197.6,09/04/2014 12:00:00 AM,977018
198.3,202,195.05,198.3,10/04/2014 12:00:00 AM,711199
197,200.35,193.8,195.9,11/04/2014 12:00:00 AM,613250
197.25,199,188,189.75,15/04/2014 12:00:00 AM,747273
189,193.05,186.65,189.95,16/04/2014 12:00:00 AM,606465
190.7,193.5,190,192.6,17/04/2014 12:00:00 AM,516552
194,206.95,193,201.8,21/04/2014 12:00:00 AM,2318380
201.9,201.9,193.1,193.7,22/04/2014 12:00:00 AM,1310559
194,194.65,191.6,192.6,23/04/2014 12:00:00 AM,673784
192.55,194.45,189.7,193.2,25/04/2014 12:00:00 AM,827798
193.95,196.4,192.55,193.05,28/04/2014 12:00:00 AM,475636
194.15,195.6,188.6,190.4,29/04/2014 12:00:00 AM,795953
191,191.4,182.2,185.1,30/04/2014 12:00:00 AM,871766
186.8,187.3,179.5,180.5,02/05/2014 12:00:00 AM,525616
179.5,183.4,178.65,180.65,05/05/2014 12:00:00 AM,519101
181,182.45,179,180.2,06/05/2014 12:00:00 AM,316203
180.5,181.35,178,178.75,07/05/2014 12:00:00 AM,472037
