Open,High,Low,Close,Date
62.19,62.7,61.2,61.58,10/02/2014 12:00:00 AM
61.51,62.16,61.06,61.24,11/02/2014 12:00:00 AM
61.86,62.4,60.43,60.64,12/02/2014 12:00:00 AM
61.04,61.18,58.8,58.94,13/02/2014 12:00:00 AM
59.4,60.4,58.82,60.09,14/02/2014 12:00:00 AM
60.31,61.19,59.43,60.94,17/02/2014 12:00:00 AM
61.2,62.18,60.8,61.64,18/02/2014 12:00:00 AM
61.82,62.1,61.02,61.42,19/02/2014 12:00:00 AM
60.9,61.17,60.22,60.35,20/02/2014 12:00:00 AM
60.78,61.46,60.6,61.18,21/02/2014 12:00:00 AM
61.2,61.3,60.3,60.79,24/02/2014 12:00:00 AM
61.2,61.32,60.3,60.47,25/02/2014 12:00:00 AM
60.6,61.18,60.3,60.52,26/02/2014 12:00:00 AM
61.02,61.29,60.5,60.95,28/02/2014 12:00:00 AM
60.52,62.51,60.34,60.51,03/03/2014 12:00:00 AM
61.1,64.5,60.77,64.09,04/03/2014 12:00:00 AM
64.82,66.92,63.94,66.1,05/03/2014 12:00:00 AM
66.72,69.45,66.25,69.17,06/03/2014 12:00:00 AM
69.75,75.7,69.42,75.14,07/03/2014 12:00:00 AM
74.94,77.9,73.6,76.11,10/03/2014 12:00:00 AM
76.5,77.47,73.4,74.26,11/03/2014 12:00:00 AM
74,74.7,72.27,73.05,12/03/2014 12:00:00 AM
73.58,75.6,71.28,72.27,13/03/2014 12:00:00 AM
71.3,71.6,70.1,71.19,14/03/2014 12:00:00 AM
71.91,73.49,71.91,72.76,18/03/2014 12:00:00 AM
73.4,74.18,72.32,73.17,19/03/2014 12:00:00 AM
73.4,73.4,72,72.4,20/03/2014 12:00:00 AM
72.29,73.19,71.46,72.07,21/03/2014 12:00:00 AM
72.25,72.64,72.25,72.46,22/03/2014 12:00:00 AM
73.16,76.13,72.99,75.81,24/03/2014 12:00:00 AM
76,76.78,75.39,75.87,25/03/2014 12:00:00 AM
76.5,80.58,76.46,80.34,26/03/2014 12:00:00 AM
80.68,80.94,78.1,78.8,27/03/2014 12:00:00 AM
79.65,81.56,79.65,80.98,28/03/2014 12:00:00 AM
